machine_id,units_rejected,production_time_hours,target_quantity,total_defects,defect_type_count,quality_defect_rate_percent,total_downtime_hours,downtime_event_count,average_downtime_hours,available_hours,operating_hours,utilization_percent,sensor_value_mean,sensor_value_min,sensor_value_max,sensor_value_std,sensor_reading_count,maintenance_event_count,total_maintenance_downtime,average_maintenance_downtime,total_maintenance_cost,completed_maintenance_count,production_day,production_month,production_day_of_week,is_weekend,shift_encoded,previous_units_produced,previous_rejection_rate,rolling_3_production_avg,rolling_3_rejection_avg
5,62,8.0,972,19,1,1.89,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,31,7,4,0,0,890.0,1.44,916.33,4.08
4,38,8.0,1023,11,1,1.06,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,29,7,2,0,2,975.0,7.14,976.33,3.82
2,41,8.0,910,15,1,1.66,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,17,8,0,0,2,907.0,2.79,870.67,4.88
3,14,8.0,848,3,1,0.4,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,11,8,1,0,2,711.0,5.07,773.0,4.68
3,21,8.0,803,6,1,0.81,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,24,7,4,0,0,813.0,2.17,809.33,4.83
2,24,8.0,907,7,1,0.76,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,24,7,4,0,2,910.0,7.14,897.67,6.56
5,53,8.0,937,12,1,1.15,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,24,7,4,0,2,960.0,5.7,958.33,4.19
1,38,8.0,1021,12,1,1.23,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,21,7,1,0,2,925.0,5.42,939.67,2.94
1,14,8.0,987,3,1,0.32,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,4,8,1,0,0,962.0,5.78,949.67,2.97
4,67,8.0,987,23,1,2.24,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,16,8,6,1,0,965.0,6.49,978.0,4.89
4,62,8.0,998,15,1,1.39,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,31,7,4,0,2,1013.0,5.5,963.67,2.84
5,62,8.0,936,12,1,1.17,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,1,8,5,1,1,976.0,6.06,926.33,6.05
4,24,8.0,999,8,1,0.82,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,23,7,3,0,2,1018.0,6.78,1011.67,5.69
1,11,8.0,1028,3,1,0.33,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,25,7,5,1,1,893.0,4.49,923.0,4.02
5,10,8.0,972,2,1,0.22,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,7,8,4,0,2,891.0,2.62,901.0,3.48
2,35,8.0,926,11,1,1.19,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,1,8,5,1,0,893.0,7.17,902.0,5.22
4,25,8.0,979,6,1,0.57,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,5,8,2,0,2,1005.0,5.55,1010.0,4.32
1,20,8.0,974,6,1,0.62,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,21,7,1,0,0,940.0,1.36,951.0,3.98
1,69,8.0,1013,15,1,1.44,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,26,7,6,1,0,927.0,4.83,910.0,3.5
2,44,8.0,911,10,1,1.14,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,16,8,6,1,2,941.0,3.49,923.33,2.87
1,36,8.0,1030,11,1,1.11,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,9,8,6,1,0,906.0,6.69,907.67,3.85
3,62,8.0,786,15,1,1.72,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,1,8,5,1,2,800.0,6.76,809.0,4.32
3,16,8.0,803,2,1,0.25,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,4,8,1,0,2,847.0,7.33,840.0,6.32
4,64,8.0,1023,24,1,2.19,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,7,8,4,0,0,958.0,2.15,984.33,3.2
1,18,8.0,1001,6,1,0.62,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,10,8,0,0,0,940.0,7.21,935.67,6.05
2,18,8.0,885,4,1,0.45,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,26,7,6,1,2,911.0,0.98,894.33,4.92
4,43,8.0,989,11,1,1.06,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,24,7,4,0,2,972.0,1.92,1000.33,2.39
3,12,8.0,815,1,1,0.13,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,2,8,6,1,1,779.0,6.26,797.0,6.7
1,46,8.0,1005,7,1,0.67,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,29,7,2,0,2,931.0,1.79,919.33,4.39
4,75,8.0,985,16,1,1.52,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,29,7,2,0,1,948.0,1.15,990.67,3.67
4,68,8.0,1030,12,1,1.11,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,25,7,5,1,0,992.0,4.15,1014.0,2.96
1,67,8.0,1007,16,1,1.57,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,28,7,1,0,2,956.0,7.27,959.33,5.48
1,73,8.0,982,25,1,2.48,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,22,7,2,0,1,962.0,1.43,941.67,3.58
5,34,8.0,916,11,1,1.23,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,5,8,2,0,1,972.0,3.57,944.33,5.51
2,66,8.0,884,16,1,1.64,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,26,7,6,1,0,863.0,7.0,867.33,4.79
3,56,8.0,808,18,1,2.09,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,5,8,2,0,1,862.0,4.43,830.0,4.59
5,19,8.0,948,3,1,0.31,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,9,8,6,1,0,910.0,2.88,921.67,2.34
2,14,8.0,903,5,1,0.53,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,29,7,2,0,1,871.0,5.02,918.67,3.76
2,52,8.0,892,15,1,1.66,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,28,7,1,0,0,857.0,6.95,882.33,3.64
5,71,8.0,925,14,1,1.36,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,12,8,2,0,2,934.0,5.47,916.67,5.46
2,62,8.0,918,22,1,2.23,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,10,8,0,0,2,957.0,3.72,936.0,4.36
4,51,8.0,996,18,1,1.74,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,9,8,6,1,2,914.0,1.72,946.67,2.36
4,9,8.0,971,2,1,0.21,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,13,8,3,0,0,991.0,4.34,979.33,5.14
2,37,8.0,860,7,1,0.7,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,10,8,0,0,1,921.0,4.06,909.0,3.83
2,34,8.0,895,6,1,0.62,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,16,8,6,1,1,879.0,2.66,922.0,2.09
5,41,8.0,967,12,1,1.24,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,2,8,6,1,2,964.0,1.73,938.0,2.59
2,35,8.0,875,6,1,0.69,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,6,8,3,0,0,951.0,5.37,903.0,4.16
5,17,8.0,980,4,1,0.41,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,2,8,6,1,1,921.0,4.66,937.0,4.03
5,20,8.0,918,4,1,0.43,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,8,8,5,1,1,952.0,1.96,914.0,1.89
2,33,8.0,905,8,1,0.89,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,15,8,5,1,0,889.0,1.55,935.67,2.63
3,61,8.0,803,12,1,1.34,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,11,8,1,0,0,775.0,2.15,793.33,5.43
2,9,8.0,872,2,1,0.22,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,26,7,6,1,1,909.0,6.77,891.33,5.31
3,21,8.0,835,3,1,0.36,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,26,7,6,1,1,874.0,5.21,809.67,6.25
2,59,8.0,909,11,1,1.15,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,7,8,4,0,1,908.0,6.87,874.0,6.41
5,46,8.0,940,8,1,0.79,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,21,7,1,0,2,911.0,2.88,912.0,3.52
2,52,8.0,941,16,1,1.63,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,9,8,6,1,2,876.0,2.12,880.67,4.49
5,42,8.0,957,12,1,1.25,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,5,8,2,0,2,859.0,3.81,920.67,4.79
3,10,8.0,809,2,1,0.25,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,24,7,4,0,1,723.0,2.82,790.67,3.72
1,65,8.0,1018,10,1,1.04,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,16,8,6,1,2,963.0,3.8,931.0,3.49
3,57,8.0,804,19,1,2.3,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,25,7,5,1,1,861.0,1.82,820.33,1.43
3,27,8.0,788,9,1,1.12,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,7,8,4,0,0,762.0,3.3,790.67,2.68
1,76,8.0,994,17,1,1.56,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,13,8,3,0,2,968.0,4.91,938.33,5.38
5,28,8.0,953,6,1,0.6,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,4,8,1,0,0,845.0,4.74,919.67,3.23
4,42,8.0,1008,8,1,0.73,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,18,8,1,0,1,978.0,5.42,937.33,3.68
5,9,8.0,981,3,1,0.32,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,23,7,3,0,1,916.0,3.78,916.0,4.28
2,43,8.0,891,6,1,0.64,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,29,7,2,0,2,927.0,1.49,913.33,3.13
3,22,8.0,806,7,1,0.84,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,12,8,2,0,1,763.0,5.1,738.0,4.01
3,42,8.0,785,6,1,0.7,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,17,8,0,0,2,818.0,0.97,842.0,3.45
5,51,8.0,952,18,1,1.93,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,27,7,0,0,2,938.0,6.94,911.0,5.57
4,38,8.0,1034,6,1,0.59,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,4,8,1,0,2,1034.0,6.43,964.67,6.78
3,21,8.0,802,6,1,0.81,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,16,8,6,1,1,824.0,3.63,785.67,3.52
4,61,8.0,999,11,1,1.09,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,2,8,6,1,2,923.0,7.05,969.33,5.48
5,24,8.0,961,5,1,0.56,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,16,8,6,1,2,942.0,5.14,943.67,2.41
5,61,8.0,967,10,1,1.07,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,30,7,3,0,1,987.0,4.27,933.67,4.84
4,58,8.0,980,13,1,1.26,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,15,8,5,1,1,999.0,2.54,983.67,3.14
1,34,8.0,1011,8,1,0.81,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,1,8,5,1,0,934.0,4.69,951.33,5.64
2,15,8.0,899,2,1,0.23,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,5,8,2,0,1,920.0,5.35,895.33,6.2
5,51,8.0,953,11,1,1.14,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,15,8,5,1,0,990.0,3.88,939.0,3.22
3,16,8.0,812,3,1,0.34,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,25,7,5,1,0,802.0,1.23,774.33,1.76
3,31,8.0,800,12,1,1.37,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,13,8,3,0,1,802.0,4.86,831.0,3.57
5,37,8.0,949,14,1,1.56,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,9,8,6,1,1,955.0,1.95,922.67,2.33
1,65,8.0,977,15,1,1.54,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,8,8,5,1,2,924.0,1.7,913.0,3.81
2,27,8.0,911,9,1,0.95,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,27,7,0,0,0,871.0,2.02,897.0,3.26
3,47,8.0,821,14,1,1.83,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,29,7,2,0,1,773.0,5.15,804.33,6.05
4,12,8.0,988,2,1,0.21,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,30,7,3,0,2,1045.0,5.09,994.67,4.18
1,14,8.0,1025,2,1,0.2,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,22,7,2,0,0,938.0,3.89,939.0,3.79
4,21,8.0,996,5,1,0.51,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,6,8,3,0,2,1018.0,2.12,1009.67,3.27
5,68,8.0,942,20,1,1.99,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,25,7,5,1,0,986.0,5.1,973.67,4.43
2,70,8.0,909,22,1,2.12,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,11,8,1,0,2,900.0,2.49,894.0,3.91
2,60,8.0,893,20,1,2.17,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,9,8,6,1,0,903.0,4.85,935.0,5.06
2,56,8.0,886,11,1,1.13,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,18,8,1,0,0,860.0,4.55,878.33,4.74
3,58,8.0,818,11,1,1.37,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,21,7,1,0,1,751.0,4.33,793.67,3.43
1,30,8.0,991,5,1,0.51,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,23,7,3,0,1,1012.0,3.8,956.0,4.01
3,17,8.0,742,3,1,0.38,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,10,8,0,0,2,814.0,6.97,792.67,5.75
2,70,8.0,877,25,1,2.55,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,24,7,4,0,1,916.0,5.57,899.0,6.14
1,14,8.0,968,2,1,0.21,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,16,8,6,1,0,893.0,5.2,919.67,3.1
1,68,8.0,1012,23,1,2.21,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,1,8,5,1,2,954.0,6.01,945.67,4.72
4,74,8.0,984,22,1,2.01,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,23,7,3,0,1,983.0,6.2,1009.67,5.64
2,14,8.0,919,3,1,0.33,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,14,8,4,0,2,945.0,5.31,937.33,4.24
5,30,8.0,964,10,1,1.07,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,9,8,6,1,2,863.0,4.11,909.33,2.98
4,67,8.0,998,25,1,2.29,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,11,8,1,0,0,993.0,2.26,983.0,4.48
3,48,8.0,799,11,1,1.19,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,26,7,6,1,0,787.0,6.64,805.33,5.12
5,13,8.0,963,4,1,0.44,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,30,7,3,0,2,872.0,6.54,920.67,5.48
5,42,8.0,954,10,1,1.04,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,20,7,0,0,1,988.0,2.27,988.0,2.27
3,23,8.0,779,6,1,0.72,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,29,7,2,0,2,718.0,6.14,770.33,5.82
3,10,8.0,805,2,1,0.25,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,24,7,4,0,2,798.0,1.24,778.0,2.08
1,42,8.0,1024,15,1,1.45,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,18,8,1,0,2,910.0,4.71,910.33,3.04
3,61,8.0,819,21,1,2.4,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,10,8,0,0,1,791.0,7.16,798.0,4.37
2,67,8.0,896,10,1,1.08,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,13,8,3,0,1,879.0,6.89,889.67,4.84
3,28,8.0,809,6,1,0.73,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,8,8,5,1,2,758.0,2.82,754.0,4.21
2,63,8.0,874,16,1,1.55,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,8,8,5,1,0,891.0,5.81,898.0,6.29
1,13,8.0,1003,3,1,0.31,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,20,7,0,0,2,944.0,4.84,956.5,5.29
2,72,8.0,912,18,1,1.8,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,20,7,0,0,2,963.0,1.13,926.5,3.82
5,23,8.0,958,8,1,0.79,5.62,3,1.87,720.0,714.38,99.22,34.9,1.6,75.02,32.34,180,4,4.34,1.08,14428.55,2,20,7,0,0,0,0.0,0.0,0.0,0.0
1,66,8.0,977,11,1,1.1,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,12,8,2,0,0,868.0,3.98,929.33,4.57
3,60,8.0,793,18,1,2.21,26.39,13,2.03,720.0,693.61,96.33,43.64,3.76,88.87,38.73,180,3,7.48,2.49,21011.44,3,14,8,4,0,0,793.0,6.15,812.67,4.85
2,40,8.0,869,13,1,1.3,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,31,7,4,0,0,871.0,1.69,920.67,1.77
4,16,8.0,994,4,1,0.43,16.3,6,2.72,720.0,703.7,97.74,33.98,1.24,75.49,31.59,180,2,2.33,1.16,3939.47,2,9,8,6,1,1,1002.0,3.75,994.0,4.21
2,61,8.0,891,24,1,2.44,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,22,7,2,0,0,932.0,3.02,896.0,3.69
