machine_id,target_quantity,production_day,production_month,production_day_of_week,is_weekend,shift_encoded,previous_units_produced,previous_rejection_rate,rolling_3_production_avg,rolling_3_rejection_avg
1,1000,28,8,3,0,1,893.0,1.76,928.0,3.03
1,995,28,8,3,0,2,933.0,3.22,921.33,3.09
2,914,28,8,3,0,0,867.0,6.97,890.67,5.51
2,892,28,8,3,0,1,916.0,5.57,899.0,6.14
2,888,28,8,3,0,2,910.0,7.14,897.67,6.56
3,818,28,8,3,0,0,813.0,2.17,809.33,4.83
3,791,28,8,3,0,1,723.0,2.82,790.67,3.72
3,789,28,8,3,0,2,798.0,1.24,778.0,2.08
4,950,28,8,3,0,0,951.0,2.46,984.0,5.15
4,979,28,8,3,0,1,1078.0,2.8,1015.67,4.01
4,983,28,8,3,0,2,972.0,1.92,1000.33,2.39
5,939,28,8,3,0,0,940.0,4.37,932.33,3.03
5,935,28,8,3,0,1,975.0,2.5,952.0,2.61
5,969,28,8,3,0,2,960.0,5.7,958.33,4.19
1,984,29,8,4,0,0,943.0,4.36,923.0,3.11
1,985,29,8,4,0,1,893.0,4.49,923.0,4.02
1,1003,29,8,4,0,2,910.0,1.19,915.33,3.35
2,877,29,8,4,0,0,897.0,2.61,907.67,5.11
2,931,29,8,4,0,1,837.0,5.21,881.33,4.99
2,916,29,8,4,0,2,902.0,2.17,878.67,3.33
3,776,29,8,4,0,0,802.0,1.23,774.33,1.76
3,820,29,8,4,0,1,861.0,1.82,820.33,1.43
3,824,29,8,4,0,2,768.0,6.91,810.33,3.32
4,977,29,8,4,0,0,992.0,4.15,1014.0,2.96
4,976,29,8,4,0,1,1012.0,6.3,992.0,4.12
4,987,29,8,4,0,2,930.0,4.62,978.0,5.02
5,921,29,8,4,0,0,986.0,5.1,973.67,4.43
5,934,29,8,4,0,1,937.0,6.77,961.0,5.86
5,941,29,8,4,0,2,940.0,3.19,954.33,5.02
1,1010,30,8,5,1,0,927.0,4.83,910.0,3.5
1,1001,30,8,5,1,1,970.0,6.64,935.67,4.22
1,997,30,8,5,1,2,961.0,6.06,952.67,5.84
2,890,30,8,5,1,0,863.0,7.0,867.33,4.79
2,873,30,8,5,1,1,909.0,6.77,891.33,5.31
2,911,30,8,5,1,2,911.0,0.98,894.33,4.92
3,811,30,8,5,1,0,787.0,6.64,805.33,5.12
3,787,30,8,5,1,1,874.0,5.21,809.67,6.25
3,777,30,8,5,1,2,818.0,2.5,826.33,4.78
4,1031,30,8,5,1,0,915.0,1.61,952.33,4.18
4,1004,30,8,5,1,1,1011.0,5.78,952.0,4.0
4,1007,30,8,5,1,2,1018.0,5.3,981.33,4.23
5,958,30,8,5,1,0,961.0,3.32,946.0,4.43
5,925,30,8,5,1,1,920.0,2.75,940.33,3.09
5,979,30,8,5,1,2,899.0,2.6,926.67,2.89
1,991,31,8,6,1,0,922.0,2.02,951.0,4.91
1,1016,31,8,6,1,1,963.0,5.12,948.67,4.4
1,1029,31,8,6,1,2,950.0,4.71,945.0,3.95
2,901,31,8,6,1,0,871.0,2.02,897.0,3.26
2,876,31,8,6,1,1,925.0,2.84,902.33,1.95
2,850,31,8,6,1,2,865.0,1.14,887.0,2.0
3,799,31,8,6,1,0,761.0,3.06,817.67,3.59
3,805,31,8,6,1,1,819.0,7.04,799.33,4.2
3,788,31,8,6,1,2,791.0,1.0,790.33,3.7
4,1002,31,8,6,1,0,996.0,4.69,1008.33,5.26
4,1008,31,8,6,1,1,998.0,7.16,1004.0,5.72
4,1019,31,8,6,1,2,977.0,6.51,990.33,6.12
5,945,31,8,6,1,0,926.0,6.75,915.0,4.03
5,949,31,8,6,1,1,869.0,3.01,898.0,4.12
5,946,31,8,6,1,2,938.0,6.94,911.0,5.57
1,1000,1,9,0,0,0,1008.0,4.18,973.67,4.67
1,989,1,9,0,0,1,914.0,4.99,957.33,4.63
1,989,1,9,0,0,2,956.0,7.27,959.33,5.48
2,890,1,9,0,0,0,857.0,6.95,882.33,3.64
2,903,1,9,0,0,1,854.0,5.74,858.67,4.61
2,883,1,9,0,0,2,943.0,3.38,884.67,5.36
3,790,1,9,0,0,0,828.0,6.97,812.67,5.0
3,836,1,9,0,0,1,820.0,6.5,813.0,4.82
3,817,1,9,0,0,2,820.0,6.82,822.67,6.76
4,980,1,9,0,0,0,946.0,6.43,973.67,6.7
4,1017,1,9,0,0,1,1134.0,5.18,1019.0,6.04
4,1012,1,9,0,0,2,1018.0,6.69,1032.67,6.1
5,947,1,9,0,0,0,880.0,5.48,895.67,5.14
5,935,1,9,0,0,1,899.0,4.77,905.67,5.73
5,933,1,9,0,0,2,920.0,1.18,899.67,3.81
1,1004,2,9,1,0,0,952.0,6.58,940.67,6.28
1,983,2,9,1,0,1,875.0,4.79,927.67,6.21
1,1021,2,9,1,0,2,931.0,1.79,919.33,4.39
2,927,2,9,1,0,0,942.0,2.89,913.0,4.0
2,899,2,9,1,0,1,871.0,5.02,918.67,3.76
2,922,2,9,1,0,2,927.0,1.49,913.33,3.13
3,791,2,9,1,0,0,820.0,6.18,820.0,6.5
3,785,2,9,1,0,1,773.0,5.15,804.33,6.05
3,822,2,9,1,0,2,718.0,6.14,770.33,5.82
4,1031,2,9,1,0,0,1006.0,3.18,1052.67,5.02
4,1039,2,9,1,0,1,948.0,1.15,990.67,3.67
4,1006,2,9,1,0,2,975.0,7.14,976.33,3.82
5,967,2,9,1,0,0,1022.0,2.85,947.0,2.93
5,956,2,9,1,0,1,964.0,2.13,968.67,2.05
5,978,2,9,1,0,2,911.0,4.61,965.67,3.2
1,1008,3,9,2,0,0,993.0,4.43,933.0,3.67
1,1016,3,9,2,0,1,899.0,7.13,941.0,4.45
1,977,3,9,2,0,2,986.0,5.74,959.33,5.77
2,895,3,9,2,0,0,901.0,4.56,899.67,3.69
2,916,3,9,2,0,1,941.0,2.59,923.0,2.88
2,914,3,9,2,0,2,950.0,1.04,930.67,2.73
3,817,3,9,2,0,0,807.0,2.77,766.0,4.69
3,802,3,9,2,0,1,817.0,4.11,780.67,4.34
3,786,3,9,2,0,2,830.0,1.54,818.0,2.81
4,998,3,9,2,0,0,1000.0,3.66,974.33,3.98
4,1000,3,9,2,0,1,939.0,3.79,971.33,4.86
4,1004,3,9,2,0,2,1045.0,5.09,994.67,4.18
5,930,3,9,2,0,0,903.0,5.64,926.0,4.13
5,944,3,9,2,0,1,987.0,4.27,933.67,4.84
5,948,3,9,2,0,2,872.0,6.54,920.67,5.48
1,955,4,9,3,0,0,1034.0,3.72,973.0,5.53
1,1016,4,9,3,0,1,968.0,5.19,996.0,4.88
1,1003,4,9,3,0,2,952.0,7.03,984.67,5.31
2,905,4,9,3,0,0,871.0,1.69,920.67,1.77
2,889,4,9,3,0,1,963.0,3.99,928.0,2.24
2,911,4,9,3,0,2,850.0,4.49,894.67,3.39
3,783,4,9,3,0,0,670.0,2.05,772.33,2.57
3,786,4,9,3,0,1,823.0,6.8,774.33,3.46
3,812,4,9,3,0,2,811.0,1.46,768.0,3.44
4,1007,4,9,3,0,0,922.0,1.28,968.67,3.39
4,974,4,9,3,0,1,956.0,1.75,974.33,2.71
4,1031,4,9,3,0,2,1013.0,5.5,963.67,2.84
5,934,4,9,3,0,0,890.0,1.44,916.33,4.08
5,947,4,9,3,0,1,942.0,6.18,901.33,4.72
5,984,4,9,3,0,2,896.0,5.88,909.33,4.5
1,958,5,9,4,0,0,934.0,4.69,951.33,5.64
1,965,5,9,4,0,1,949.0,3.46,945.0,5.06
1,1008,5,9,4,0,2,954.0,6.01,945.67,4.72
2,850,5,9,4,0,0,893.0,7.17,902.0,5.22
2,859,5,9,4,0,1,891.0,3.78,878.0,5.15
2,923,5,9,4,0,2,933.0,1.69,905.67,4.21
3,791,5,9,4,0,0,775.0,3.12,803.0,3.79
3,843,5,9,4,0,1,852.0,3.07,812.67,2.55
3,779,5,9,4,0,2,800.0,6.76,809.0,4.32
4,993,5,9,4,0,0,1015.0,5.76,994.67,4.34
4,1010,5,9,4,0,1,974.0,4.7,1000.67,5.32
4,1009,5,9,4,0,2,947.0,2.87,978.67,4.44
5,944,5,9,4,0,0,907.0,6.2,915.0,6.09
5,937,5,9,4,0,1,976.0,6.06,926.33,6.05
5,954,5,9,4,0,2,961.0,6.06,948.0,6.11
1,1027,6,9,5,1,0,971.0,6.54,958.0,5.34
1,1015,6,9,5,1,1,914.0,4.59,946.33,5.71
1,987,6,9,5,1,2,989.0,3.32,958.0,4.82
2,880,6,9,5,1,0,932.0,6.8,918.67,4.09
2,886,6,9,5,1,1,916.0,4.98,927.0,4.49
2,874,6,9,5,1,2,877.0,1.57,908.33,4.45
3,802,6,9,5,1,0,812.0,7.09,821.33,5.64
3,816,6,9,5,1,1,779.0,6.26,797.0,6.7
3,798,6,9,5,1,2,781.0,1.51,790.67,4.95
4,1034,6,9,5,1,0,1063.0,3.19,994.67,3.59
4,1035,6,9,5,1,1,922.0,6.21,977.33,4.09
4,1006,6,9,5,1,2,923.0,7.05,969.33,5.48
5,964,6,9,5,1,0,929.0,1.38,955.33,4.5
5,931,6,9,5,1,1,921.0,4.66,937.0,4.03
5,942,6,9,5,1,2,964.0,1.73,938.0,2.59
1,1025,7,9,6,1,0,944.0,1.77,949.0,3.23
1,988,7,9,6,1,1,949.0,1.35,960.67,2.15
1,1029,7,9,6,1,2,938.0,1.78,943.67,1.63
2,922,7,9,6,1,0,909.0,1.41,900.67,2.65
2,915,7,9,6,1,1,866.0,4.84,884.0,2.61
2,876,7,9,6,1,2,895.0,2.82,890.0,3.02
3,793,7,9,6,1,0,809.0,7.22,789.67,5.0
3,812,7,9,6,1,1,808.0,1.46,799.33,3.4
3,780,7,9,6,1,2,800.0,4.65,805.67,4.44
4,996,7,9,6,1,0,951.0,6.03,932.0,6.43
4,1015,7,9,6,1,1,999.0,5.49,957.67,6.19
4,988,7,9,6,1,2,1066.0,4.82,1005.33,5.45
5,933,7,9,6,1,0,923.0,4.25,936.0,3.55
5,913,7,9,6,1,1,1017.0,2.77,968.0,2.92
5,942,7,9,6,1,2,897.0,2.18,945.67,3.07
1,1015,8,9,0,0,0,962.0,5.78,949.67,2.97
1,982,8,9,0,0,1,928.0,1.49,942.67,3.02
1,1000,8,9,0,0,2,963.0,3.02,951.0,3.43
2,895,8,9,0,0,0,916.0,6.53,892.33,4.73
2,886,8,9,0,0,1,864.0,6.8,891.67,5.38
2,916,8,9,0,0,2,919.0,6.32,899.67,6.55
3,832,8,9,0,0,0,800.0,5.1,802.67,3.74
3,820,8,9,0,0,1,873.0,6.53,824.33,5.43
3,786,8,9,0,0,2,847.0,7.33,840.0,6.32
4,1039,8,9,0,0,0,949.0,6.78,1004.67,5.7
4,1020,8,9,0,0,1,911.0,7.14,975.33,6.25
4,990,8,9,0,0,2,1034.0,6.43,964.67,6.78
5,934,8,9,0,0,0,845.0,4.74,919.67,3.23
5,972,8,9,0,0,1,979.0,2.78,907.0,3.23
5,953,8,9,0,0,2,930.0,5.97,918.0,4.5
1,982,9,9,1,0,0,1025.0,6.22,972.0,3.58
1,997,9,9,1,0,1,931.0,3.92,973.0,4.39
1,991,9,9,1,0,2,974.0,1.81,976.67,3.98
2,883,9,9,1,0,0,847.0,6.92,876.67,6.68
2,920,9,9,1,0,1,920.0,5.35,895.33,6.2
2,915,9,9,1,0,2,838.0,1.76,868.33,4.68
3,816,9,9,1,0,0,781.0,2.01,833.67,5.29
3,816,9,9,1,0,1,862.0,4.43,830.0,4.59
3,781,9,9,1,0,2,804.0,6.51,815.67,4.32
4,987,9,9,1,0,0,975.0,3.75,973.33,5.77
4,1029,9,9,1,0,1,1050.0,3.67,1019.67,4.62
4,1002,9,9,1,0,2,1005.0,5.55,1010.0,4.32
5,920,9,9,1,0,0,931.0,6.99,946.67,5.25
5,954,9,9,1,0,1,972.0,3.57,944.33,5.51
5,963,9,9,1,0,2,859.0,3.81,920.67,4.79
1,1010,10,9,2,0,0,954.0,2.45,953.0,2.73
1,981,10,9,2,0,1,978.0,6.05,968.67,3.44
1,1037,10,9,2,0,2,1015.0,6.54,982.33,5.01
2,869,10,9,2,0,0,951.0,5.37,903.0,4.16
2,902,10,9,2,0,1,831.0,4.04,873.33,3.72
2,934,10,9,2,0,2,897.0,7.24,893.0,5.55
3,811,10,9,2,0,0,882.0,6.57,849.33,5.84
3,816,10,9,2,0,1,796.0,2.57,827.33,5.22
3,778,10,9,2,0,2,814.0,2.16,830.67,3.77
4,1006,10,9,2,0,0,1034.0,2.36,1029.67,3.86
4,999,10,9,2,0,1,977.0,5.33,1005.33,4.41
4,977,10,9,2,0,2,1018.0,2.12,1009.67,3.27
5,967,10,9,2,0,0,919.0,4.37,916.67,3.92
5,933,10,9,2,0,1,898.0,1.54,892.0,3.24
5,935,10,9,2,0,2,925.0,2.32,914.0,2.74
1,1008,11,9,3,0,0,894.0,7.07,962.33,6.55
1,997,11,9,3,0,1,1028.0,1.25,979.0,4.95
1,1003,11,9,3,0,2,951.0,6.12,957.67,4.81
2,895,11,9,3,0,0,817.0,5.11,848.33,5.46
2,928,11,9,3,0,1,908.0,6.87,874.0,6.41
2,881,11,9,3,0,2,895.0,6.18,873.33,6.05
3,790,11,9,3,0,0,762.0,3.3,790.67,2.68
3,809,11,9,3,0,1,778.0,3.35,784.67,2.94
3,780,11,9,3,0,2,776.0,4.2,772.0,3.62
4,979,11,9,3,0,0,958.0,2.15,984.33,3.2
4,1002,11,9,3,0,1,1034.0,5.83,1003.33,3.37
4,1017,11,9,3,0,2,1003.0,4.29,998.33,4.09
5,969,11,9,3,0,0,888.0,3.37,903.67,2.41
5,951,11,9,3,0,1,924.0,4.45,912.33,3.38
5,936,11,9,3,0,2,891.0,2.62,901.0,3.48
1,1005,12,9,4,0,0,922.0,6.59,967.0,4.65
1,1011,12,9,4,0,1,893.0,3.15,922.0,5.29
1,1005,12,9,4,0,2,924.0,1.7,913.0,3.81
2,924,12,9,4,0,0,891.0,5.81,898.0,6.29
2,879,12,9,4,0,1,967.0,6.12,917.67,6.04
2,886,12,9,4,0,2,935.0,4.2,931.0,5.38
3,821,12,9,4,0,0,739.0,4.03,764.33,3.86
3,770,12,9,4,0,1,765.0,5.79,760.0,4.67
3,789,12,9,4,0,2,758.0,2.82,754.0,4.21
4,985,12,9,4,0,0,992.0,4.43,1009.67,4.85
4,968,12,9,4,0,1,1017.0,3.33,1004.0,4.02
4,996,12,9,4,0,2,1056.0,7.29,1021.67,5.02
5,964,12,9,4,0,0,899.0,1.1,904.67,2.72
5,953,12,9,4,0,1,952.0,1.96,914.0,1.89
5,965,12,9,4,0,2,903.0,2.17,918.0,1.74
1,1023,13,9,5,1,0,906.0,6.69,907.67,3.85
1,992,13,9,5,1,1,951.0,3.65,927.0,4.01
1,1052,13,9,5,1,2,916.0,7.29,924.33,5.88
2,893,13,9,5,1,0,903.0,4.85,935.0,5.06
2,895,13,9,5,1,1,863.0,6.5,900.33,5.18
2,885,13,9,5,1,2,876.0,2.12,880.67,4.49
3,810,13,9,5,1,0,792.0,3.41,771.67,4.01
3,794,13,9,5,1,1,803.0,4.74,784.33,3.66
3,798,13,9,5,1,2,830.0,2.81,808.33,3.65
4,995,13,9,5,1,0,924.0,1.6,999.0,4.07
4,995,13,9,5,1,1,1002.0,3.75,994.0,4.21
4,1003,13,9,5,1,2,914.0,1.72,946.67,2.36
5,940,13,9,5,1,0,910.0,2.88,921.67,2.34
5,941,13,9,5,1,1,955.0,1.95,922.67,2.33
5,971,13,9,5,1,2,863.0,4.11,909.33,2.98
1,994,14,9,6,1,0,940.0,7.21,935.67,6.05
1,1007,14,9,6,1,1,951.0,1.86,935.67,5.45
1,982,14,9,6,1,2,990.0,2.65,960.33,3.91
2,891,14,9,6,1,0,930.0,5.3,889.67,4.64
2,875,14,9,6,1,1,921.0,4.06,909.0,3.83
2,937,14,9,6,1,2,957.0,3.72,936.0,4.36
3,827,14,9,6,1,0,773.0,3.13,802.0,3.56
3,811,14,9,6,1,1,791.0,7.16,798.0,4.37
3,843,14,9,6,1,2,814.0,6.97,792.67,5.75
4,1015,14,9,6,1,0,981.0,4.94,965.67,3.47
4,996,14,9,6,1,1,983.0,4.75,959.33,3.8
4,1007,14,9,6,1,2,973.0,6.44,979.0,5.38
5,977,14,9,6,1,0,903.0,3.22,907.0,3.09
5,932,14,9,6,1,1,913.0,2.04,893.0,3.12
5,926,14,9,6,1,2,945.0,5.31,920.33,3.52
1,1008,15,9,0,0,0,926.0,5.41,955.67,3.31
1,988,15,9,0,0,1,984.0,3.53,966.67,3.86
1,954,15,9,0,0,2,936.0,6.21,948.67,5.05
2,875,15,9,0,0,0,923.0,6.29,933.67,4.69
2,893,15,9,0,0,1,859.0,2.94,913.0,4.32
2,900,15,9,0,0,2,900.0,2.49,894.0,3.91
3,801,15,9,0,0,0,775.0,2.15,793.33,5.43
3,840,15,9,0,0,1,833.0,6.82,807.33,5.31
3,795,15,9,0,0,2,711.0,5.07,773.0,4.68
4,1005,15,9,0,0,0,993.0,2.26,983.0,4.48
4,967,15,9,0,0,1,1025.0,6.14,997.0,4.95
4,999,15,9,0,0,2,1005.0,6.69,1007.67,5.03
5,956,15,9,0,0,0,913.0,4.4,923.67,3.92
5,922,15,9,0,0,1,911.0,2.57,923.0,4.09
5,931,15,9,0,0,2,896.0,5.78,906.67,4.25
1,1009,16,9,1,0,0,868.0,3.98,929.33,4.57
1,989,16,9,1,0,1,930.0,6.63,911.33,5.61
1,997,16,9,1,0,2,991.0,1.69,929.67,4.1
2,910,16,9,1,0,0,967.0,6.75,908.67,4.06
2,940,16,9,1,0,1,889.0,6.12,918.67,5.12
2,895,16,9,1,0,2,860.0,1.94,905.33,4.94
3,835,16,9,1,0,0,740.0,1.86,761.33,4.58
3,760,16,9,1,0,1,763.0,5.1,738.0,4.01
3,802,16,9,1,0,2,816.0,2.63,773.0,3.2
4,993,16,9,1,0,0,1070.0,6.06,1033.33,6.3
4,989,16,9,1,0,1,908.0,4.02,994.33,5.59
4,1013,16,9,1,0,2,1039.0,7.07,1005.67,5.72
5,945,16,9,1,0,0,932.0,5.95,913.0,4.77
5,909,16,9,1,0,1,884.0,4.95,904.0,5.56
5,918,16,9,1,0,2,934.0,5.47,916.67,5.46
1,1014,17,9,2,0,0,929.0,6.45,950.0,4.92
1,967,17,9,2,0,1,918.0,4.77,946.0,4.3
1,1014,17,9,2,0,2,968.0,4.91,938.33,5.38
2,902,17,9,2,0,0,930.0,5.68,893.0,4.58
2,896,17,9,2,0,1,879.0,6.89,889.67,4.84
2,898,17,9,2,0,2,860.0,7.23,889.67,6.6
3,810,17,9,2,0,0,875.0,3.21,818.0,3.65
3,776,17,9,2,0,1,802.0,4.86,831.0,3.57
3,800,17,9,2,0,2,843.0,3.55,840.0,3.87
4,977,17,9,2,0,0,991.0,4.34,979.33,5.14
4,1003,17,9,2,0,1,962.0,0.93,997.33,4.11
4,1012,17,9,2,0,2,939.0,4.48,964.0,3.25
5,953,17,9,2,0,0,959.0,6.89,925.67,5.77
5,962,17,9,2,0,1,878.0,5.79,923.67,6.05
5,935,17,9,2,0,2,878.0,3.94,905.0,5.54
1,998,18,9,3,0,0,1013.0,6.98,966.33,5.55
1,995,18,9,3,0,1,889.0,2.09,956.67,4.66
1,993,18,9,3,0,2,842.0,6.86,914.67,5.31
2,883,18,9,3,0,0,894.0,6.39,877.67,6.84
2,891,18,9,3,0,1,973.0,1.02,909.0,4.88
2,877,18,9,3,0,2,945.0,5.31,937.33,4.24
3,766,18,9,3,0,0,793.0,6.15,812.67,4.85
3,785,18,9,3,0,1,755.0,7.36,797.0,5.69
3,812,18,9,3,0,2,902.0,1.42,816.67,4.98
4,1004,18,9,3,0,0,913.0,6.84,938.0,4.08
4,974,18,9,3,0,1,987.0,2.37,946.33,4.56
4,991,18,9,3,0,2,974.0,2.21,958.0,3.81
5,963,18,9,3,0,0,919.0,1.92,891.67,3.88
5,941,18,9,3,0,1,908.0,1.41,901.67,2.42
5,921,18,9,3,0,2,919.0,4.37,915.33,2.57
1,1045,19,9,4,0,0,947.0,3.37,892.67,4.11
1,996,19,9,4,0,1,999.0,1.96,929.33,4.06
1,976,19,9,4,0,2,867.0,2.14,937.67,2.49
2,903,19,9,4,0,0,889.0,1.55,935.67,2.63
2,898,19,9,4,0,1,868.0,3.66,900.67,3.51
2,869,19,9,4,0,2,937.0,1.16,898.0,2.12
3,801,19,9,4,0,0,802.0,5.87,819.67,4.88
3,819,19,9,4,0,1,828.0,1.08,844.0,2.79
3,795,19,9,4,0,2,754.0,1.69,794.67,2.88
4,958,19,9,4,0,0,978.0,4.68,979.67,3.09
4,1006,19,9,4,0,1,999.0,2.54,983.67,3.14
4,1012,19,9,4,0,2,970.0,5.64,982.33,4.29
5,938,19,9,4,0,0,990.0,3.88,939.0,3.22
5,938,19,9,4,0,1,915.0,5.28,941.33,4.51
5,995,19,9,4,0,2,976.0,2.3,960.33,3.82
1,986,20,9,5,1,0,893.0,5.2,919.67,3.1
1,977,20,9,5,1,1,937.0,1.47,899.0,2.94
1,1000,20,9,5,1,2,963.0,3.8,931.0,3.49
2,911,20,9,5,1,0,950.0,2.46,918.33,2.43
2,910,20,9,5,1,1,879.0,2.66,922.0,2.09
2,850,20,9,5,1,2,941.0,3.49,923.33,2.87
3,786,20,9,5,1,0,779.0,5.23,787.0,2.67
3,823,20,9,5,1,1,824.0,3.63,785.67,3.52
3,806,20,9,5,1,2,716.0,2.85,773.0,3.9
4,975,20,9,5,1,0,965.0,6.49,978.0,4.89
4,1024,20,9,5,1,1,958.0,6.54,964.33,6.22
4,1019,20,9,5,1,2,995.0,4.14,972.67,5.72
5,944,20,9,5,1,0,953.0,1.04,948.0,2.87
5,967,20,9,5,1,1,936.0,1.06,955.0,1.47
5,989,20,9,5,1,2,942.0,5.14,943.67,2.41
1,978,21,9,6,1,0,899.0,6.74,933.0,4.0
1,1011,21,9,6,1,1,956.0,7.27,939.33,5.94
1,1039,21,9,6,1,2,942.0,4.46,932.33,6.16
2,913,21,9,6,1,0,837.0,4.99,885.67,3.71
2,884,21,9,6,1,1,868.0,6.87,882.0,5.12
2,904,21,9,6,1,2,907.0,2.79,870.67,4.88
3,827,21,9,6,1,0,867.0,7.07,802.33,4.52
3,779,21,9,6,1,1,841.0,2.32,808.0,4.08
3,799,21,9,6,1,2,818.0,0.97,842.0,3.45
4,995,21,9,6,1,0,984.0,3.81,979.0,4.83
4,987,21,9,6,1,1,1019.0,5.3,999.33,4.42
4,1004,21,9,6,1,2,906.0,4.33,969.67,4.48
5,947,21,9,6,1,0,861.0,2.71,913.0,2.97
5,962,21,9,6,1,1,950.0,1.55,917.67,3.13
5,972,21,9,6,1,2,900.0,4.86,903.67,3.04
1,974,22,9,0,0,0,928.0,1.07,942.0,4.27
1,1001,22,9,0,0,1,893.0,3.35,921.0,2.96
1,998,22,9,0,0,2,910.0,4.71,910.33,3.04
2,904,22,9,0,0,0,860.0,4.55,878.33,4.74
2,899,22,9,0,0,1,919.0,5.74,895.33,4.36
2,880,22,9,0,0,2,907.0,2.37,895.33,4.22
3,829,22,9,0,0,0,810.0,4.93,823.0,2.74
3,837,22,9,0,0,1,804.0,4.85,810.67,3.58
3,810,22,9,0,0,2,845.0,1.63,819.67,3.8
4,1011,22,9,0,0,0,928.0,1.28,951.0,3.64
4,1002,22,9,0,0,1,978.0,5.42,937.33,3.68
4,1019,22,9,0,0,2,1050.0,3.85,985.33,3.52
5,901,22,9,0,0,0,905.0,2.9,918.33,3.1
5,949,22,9,0,0,1,907.0,5.52,904.0,4.43
5,938,22,9,0,0,2,954.0,3.34,922.0,3.92
1,1002,23,9,1,0,0,992.0,4.06,931.67,4.04
1,1021,23,9,1,0,1,947.0,2.17,949.67,3.65
1,1000,23,9,1,0,2,974.0,4.51,971.0,3.58
2,892,23,9,1,0,0,876.0,4.26,900.67,4.12
2,871,23,9,1,0,1,924.0,5.23,902.33,3.95
