production_id,machine_id,production_date,shift,units_produced,units_rejected,production_time_hours,target_id,target_date,target_quantity,target_achievement_percent,total_output,rejection_rate_percent,production_rate_per_hour,total_defects,defect_type_count,quality_defect_rate_percent,total_downtime_hours,downtime_event_count,average_downtime_hours,available_hours,operating_hours,utilization_percent,sensor_value_mean,sensor_value_min,sensor_value_max,sensor_value_std,sensor_reading_count,maintenance_event_count,total_maintenance_downtime,average_maintenance_downtime,total_maintenance_cost,completed_maintenance_count,production_day,production_month,production_day_of_week,is_weekend,shift_encoded,previous_units_produced,previous_rejection_rate,rolling_3_production_avg,rolling_3_rejection_avg
63,1,2026-07-24,Night,943,43,8.0,63,2026-07-24,999,94.39,986,4.36,117.88,13,1,1.32,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,24,7,4,0,2,933.0,3.22,921.33,3.09
76,1,2026-07-25,Morning,893,42,8.0,76,2026-07-25,1023,87.29,935,4.49,111.62,10,1,1.07,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,25,7,5,1,0,943.0,4.36,923.0,3.11
77,1,2026-07-25,Afternoon,910,11,8.0,77,2026-07-25,1028,88.52,921,1.19,113.75,3,1,0.33,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,25,7,5,1,1,893.0,4.49,923.0,4.02
78,1,2026-07-25,Night,927,47,8.0,78,2026-07-25,988,93.83,974,4.83,115.88,7,1,0.72,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,25,7,5,1,2,910.0,1.19,915.33,3.35
91,1,2026-07-26,Morning,970,69,8.0,91,2026-07-26,1013,95.76,1039,6.64,121.25,15,1,1.44,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,26,7,6,1,0,927.0,4.83,910.0,3.5
92,1,2026-07-26,Afternoon,961,62,8.0,92,2026-07-26,1040,92.4,1023,6.06,120.12,19,1,1.86,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,26,7,6,1,1,970.0,6.64,935.67,4.22
93,1,2026-07-26,Night,922,19,8.0,93,2026-07-26,996,92.57,941,2.02,115.25,3,1,0.32,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,26,7,6,1,2,961.0,6.06,952.67,5.84
106,1,2026-07-27,Morning,963,52,8.0,106,2026-07-27,1020,94.41,1015,5.12,120.38,8,1,0.79,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,27,7,0,0,0,922.0,2.02,951.0,4.91
107,1,2026-07-27,Afternoon,950,47,8.0,107,2026-07-27,1013,93.78,997,4.71,118.75,11,1,1.1,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,27,7,0,0,1,963.0,5.12,948.67,4.4
108,1,2026-07-27,Night,1008,44,8.0,108,2026-07-27,1036,97.3,1052,4.18,126.0,12,1,1.14,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,27,7,0,0,2,950.0,4.71,945.0,3.95
121,1,2026-07-28,Morning,914,48,8.0,121,2026-07-28,1024,89.26,962,4.99,114.25,10,1,1.04,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,28,7,1,0,0,1008.0,4.18,973.67,4.67
122,1,2026-07-28,Afternoon,956,75,8.0,122,2026-07-28,983,97.25,1031,7.27,119.5,26,1,2.52,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,28,7,1,0,1,914.0,4.99,957.33,4.63
123,1,2026-07-28,Night,952,67,8.0,123,2026-07-28,1007,94.54,1019,6.58,119.0,16,1,1.57,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,28,7,1,0,2,956.0,7.27,959.33,5.48
136,1,2026-07-29,Morning,875,44,8.0,136,2026-07-29,1031,84.87,919,4.79,109.38,10,1,1.09,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,29,7,2,0,0,952.0,6.58,940.67,6.28
137,1,2026-07-29,Afternoon,931,17,8.0,137,2026-07-29,998,93.29,948,1.79,116.38,2,1,0.21,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,29,7,2,0,1,875.0,4.79,927.67,6.21
138,1,2026-07-29,Night,993,46,8.0,138,2026-07-29,1005,98.81,1039,4.43,124.12,7,1,0.67,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,29,7,2,0,2,931.0,1.79,919.33,4.39
151,1,2026-07-30,Morning,899,69,8.0,151,2026-07-30,1031,87.2,968,7.13,112.38,14,1,1.45,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,30,7,3,0,0,993.0,4.43,933.0,3.67
152,1,2026-07-30,Afternoon,986,60,8.0,152,2026-07-30,998,98.8,1046,5.74,123.25,14,1,1.34,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,30,7,3,0,1,899.0,7.13,941.0,4.45
153,1,2026-07-30,Night,1034,40,8.0,153,2026-07-30,988,104.66,1074,3.72,129.25,9,1,0.84,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,30,7,3,0,2,986.0,5.74,959.33,5.77
166,1,2026-07-31,Morning,968,53,8.0,166,2026-07-31,998,96.99,1021,5.19,121.0,20,1,1.96,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,31,7,4,0,0,1034.0,3.72,973.0,5.53
167,1,2026-07-31,Afternoon,952,72,8.0,167,2026-07-31,1036,91.89,1024,7.03,119.0,13,1,1.27,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,31,7,4,0,1,968.0,5.19,996.0,4.88
168,1,2026-07-31,Night,934,46,8.0,168,2026-07-31,978,95.5,980,4.69,116.75,15,1,1.53,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,31,7,4,0,2,952.0,7.03,984.67,5.31
181,1,2026-08-01,Morning,949,34,8.0,181,2026-08-01,1011,93.87,983,3.46,118.62,8,1,0.81,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,1,8,5,1,0,934.0,4.69,951.33,5.64
182,1,2026-08-01,Afternoon,954,61,8.0,182,2026-08-01,1008,94.64,1015,6.01,119.25,17,1,1.67,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,1,8,5,1,1,949.0,3.46,945.0,5.06
183,1,2026-08-01,Night,971,68,8.0,183,2026-08-01,1012,95.95,1039,6.54,121.38,23,1,2.21,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,1,8,5,1,2,954.0,6.01,945.67,4.72
196,1,2026-08-02,Morning,914,44,8.0,196,2026-08-02,986,92.7,958,4.59,114.25,12,1,1.25,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,2,8,6,1,0,971.0,6.54,958.0,5.34
197,1,2026-08-02,Afternoon,989,34,8.0,197,2026-08-02,991,99.8,1023,3.32,123.62,5,1,0.49,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,2,8,6,1,1,914.0,4.59,946.33,5.71
198,1,2026-08-02,Night,944,17,8.0,198,2026-08-02,962,98.13,961,1.77,118.0,4,1,0.42,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,2,8,6,1,2,989.0,3.32,958.0,4.82
211,1,2026-08-03,Morning,949,13,8.0,211,2026-08-03,995,95.38,962,1.35,118.62,4,1,0.42,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,3,8,0,0,0,944.0,1.77,949.0,3.23
212,1,2026-08-03,Afternoon,938,17,8.0,212,2026-08-03,1000,93.8,955,1.78,117.25,6,1,0.63,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,3,8,0,0,1,949.0,1.35,960.67,2.15
213,1,2026-08-03,Night,962,59,8.0,213,2026-08-03,1004,95.82,1021,5.78,120.25,11,1,1.08,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,3,8,0,0,2,938.0,1.78,943.67,1.63
226,1,2026-08-04,Morning,928,14,8.0,226,2026-08-04,987,94.02,942,1.49,116.0,3,1,0.32,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,4,8,1,0,0,962.0,5.78,949.67,2.97
227,1,2026-08-04,Afternoon,963,30,8.0,227,2026-08-04,1013,95.06,993,3.02,120.38,8,1,0.81,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,4,8,1,0,1,928.0,1.49,942.67,3.02
228,1,2026-08-04,Night,1025,68,8.0,228,2026-08-04,1007,101.79,1093,6.22,128.12,17,1,1.56,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,4,8,1,0,2,963.0,3.02,951.0,3.43
241,1,2026-08-05,Morning,931,38,8.0,241,2026-08-05,993,93.76,969,3.92,116.38,13,1,1.34,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,5,8,2,0,0,1025.0,6.22,972.0,3.58
242,1,2026-08-05,Afternoon,974,18,8.0,242,2026-08-05,1008,96.63,992,1.81,121.75,3,1,0.3,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,5,8,2,0,1,931.0,3.92,973.0,4.39
243,1,2026-08-05,Night,954,24,8.0,243,2026-08-05,1010,94.46,978,2.45,119.25,3,1,0.31,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,5,8,2,0,2,974.0,1.81,976.67,3.98
256,1,2026-08-06,Morning,978,63,8.0,256,2026-08-06,1012,96.64,1041,6.05,122.25,14,1,1.34,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,6,8,3,0,0,954.0,2.45,953.0,2.73
257,1,2026-08-06,Afternoon,1015,71,8.0,257,2026-08-06,990,102.53,1086,6.54,126.88,21,1,1.93,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,6,8,3,0,1,978.0,6.05,968.67,3.44
258,1,2026-08-06,Night,894,68,8.0,258,2026-08-06,1031,86.71,962,7.07,111.75,13,1,1.35,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,6,8,3,0,2,1015.0,6.54,982.33,5.01
271,1,2026-08-07,Morning,1028,13,8.0,271,2026-08-07,1029,99.9,1041,1.25,128.5,4,1,0.38,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,7,8,4,0,0,894.0,7.07,962.33,6.55
272,1,2026-08-07,Afternoon,951,62,8.0,272,2026-08-07,1027,92.6,1013,6.12,118.88,10,1,0.99,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,7,8,4,0,1,1028.0,1.25,979.0,4.95
273,1,2026-08-07,Night,922,65,8.0,273,2026-08-07,987,93.41,987,6.59,115.25,15,1,1.52,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,7,8,4,0,2,951.0,6.12,957.67,4.81
286,1,2026-08-08,Morning,893,29,8.0,286,2026-08-08,965,92.54,922,3.15,111.62,5,1,0.54,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,8,8,5,1,0,922.0,6.59,967.0,4.65
287,1,2026-08-08,Afternoon,924,16,8.0,287,2026-08-08,992,93.15,940,1.7,115.5,4,1,0.43,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,8,8,5,1,1,893.0,3.15,922.0,5.29
288,1,2026-08-08,Night,906,65,8.0,288,2026-08-08,977,92.73,971,6.69,113.25,15,1,1.54,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,8,8,5,1,2,924.0,1.7,913.0,3.81
301,1,2026-08-09,Morning,951,36,8.0,301,2026-08-09,1030,92.33,987,3.65,118.88,11,1,1.11,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,9,8,6,1,0,906.0,6.69,907.67,3.85
302,1,2026-08-09,Afternoon,916,72,8.0,302,2026-08-09,1017,90.07,988,7.29,114.5,16,1,1.62,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,9,8,6,1,1,951.0,3.65,927.0,4.01
303,1,2026-08-09,Night,940,73,8.0,303,2026-08-09,993,94.66,1013,7.21,117.5,27,1,2.67,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,9,8,6,1,2,916.0,7.29,924.33,5.88
316,1,2026-08-10,Morning,951,18,8.0,316,2026-08-10,1001,95.0,969,1.86,118.88,6,1,0.62,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,10,8,0,0,0,940.0,7.21,935.67,6.05
317,1,2026-08-10,Afternoon,990,27,8.0,317,2026-08-10,1014,97.63,1017,2.65,123.75,9,1,0.88,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,10,8,0,0,1,951.0,1.86,935.67,5.45
318,1,2026-08-10,Night,926,53,8.0,318,2026-08-10,998,92.79,979,5.41,115.75,14,1,1.43,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,10,8,0,0,2,990.0,2.65,960.33,3.91
331,1,2026-08-11,Morning,984,36,8.0,331,2026-08-11,987,99.7,1020,3.53,123.0,12,1,1.18,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,11,8,1,0,0,926.0,5.41,955.67,3.31
332,1,2026-08-11,Afternoon,936,62,8.0,332,2026-08-11,1038,90.17,998,6.21,117.0,14,1,1.4,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,11,8,1,0,1,984.0,3.53,966.67,3.86
333,1,2026-08-11,Night,868,36,8.0,333,2026-08-11,996,87.15,904,3.98,108.5,11,1,1.22,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,11,8,1,0,2,936.0,6.21,948.67,5.05
346,1,2026-08-12,Morning,930,66,8.0,346,2026-08-12,977,95.19,996,6.63,116.25,11,1,1.1,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,12,8,2,0,0,868.0,3.98,929.33,4.57
347,1,2026-08-12,Afternoon,991,17,8.0,347,2026-08-12,1032,96.03,1008,1.69,123.88,4,1,0.4,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,12,8,2,0,1,930.0,6.63,911.33,5.61
348,1,2026-08-12,Night,929,64,8.0,348,2026-08-12,977,95.09,993,6.45,116.12,16,1,1.61,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,12,8,2,0,2,991.0,1.69,929.67,4.1
361,1,2026-08-13,Morning,918,46,8.0,361,2026-08-13,1011,90.8,964,4.77,114.75,12,1,1.24,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,13,8,3,0,0,929.0,6.45,950.0,4.92
362,1,2026-08-13,Afternoon,968,50,8.0,362,2026-08-13,1014,95.46,1018,4.91,121.0,17,1,1.67,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,13,8,3,0,1,918.0,4.77,946.0,4.3
363,1,2026-08-13,Night,1013,76,8.0,363,2026-08-13,994,101.91,1089,6.98,126.62,17,1,1.56,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,13,8,3,0,2,968.0,4.91,938.33,5.38
376,1,2026-08-14,Morning,889,19,8.0,376,2026-08-14,973,91.37,908,2.09,111.12,6,1,0.66,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,14,8,4,0,0,1013.0,6.98,966.33,5.55
377,1,2026-08-14,Afternoon,842,62,8.0,377,2026-08-14,1032,81.59,904,6.86,105.25,10,1,1.11,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,14,8,4,0,1,889.0,2.09,956.67,4.66
378,1,2026-08-14,Night,947,33,8.0,378,2026-08-14,1020,92.84,980,3.37,118.38,5,1,0.51,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,14,8,4,0,2,842.0,6.86,914.67,5.31
391,1,2026-08-15,Morning,999,20,8.0,391,2026-08-15,1011,98.81,1019,1.96,124.88,5,1,0.49,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,15,8,5,1,0,947.0,3.37,892.67,4.11
392,1,2026-08-15,Afternoon,867,19,8.0,392,2026-08-15,1017,85.25,886,2.14,108.38,7,1,0.79,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,15,8,5,1,1,999.0,1.96,929.33,4.06
393,1,2026-08-15,Night,893,49,8.0,393,2026-08-15,1015,87.98,942,5.2,111.62,10,1,1.06,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,15,8,5,1,2,867.0,2.14,937.67,2.49
406,1,2026-08-16,Morning,937,14,8.0,406,2026-08-16,968,96.8,951,1.47,117.12,2,1,0.21,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,16,8,6,1,0,893.0,5.2,919.67,3.1
407,1,2026-08-16,Afternoon,963,38,8.0,407,2026-08-16,980,98.27,1001,3.8,120.38,14,1,1.4,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,16,8,6,1,1,937.0,1.47,899.0,2.94
408,1,2026-08-16,Night,899,65,8.0,408,2026-08-16,1018,88.31,964,6.74,112.38,10,1,1.04,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,16,8,6,1,2,963.0,3.8,931.0,3.49
421,1,2026-08-17,Morning,956,75,8.0,421,2026-08-17,1004,95.22,1031,7.27,119.5,18,1,1.75,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,17,8,0,0,0,899.0,6.74,933.0,4.0
422,1,2026-08-17,Afternoon,942,44,8.0,422,2026-08-17,1027,91.72,986,4.46,117.75,10,1,1.01,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,17,8,0,0,1,956.0,7.27,939.33,5.94
423,1,2026-08-17,Night,928,10,8.0,423,2026-08-17,1002,92.61,938,1.07,116.0,2,1,0.21,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,17,8,0,0,2,942.0,4.46,932.33,6.16
436,1,2026-08-18,Morning,893,31,8.0,436,2026-08-18,1017,87.81,924,3.35,111.62,6,1,0.65,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,18,8,1,0,0,928.0,1.07,942.0,4.27
437,1,2026-08-18,Afternoon,910,45,8.0,437,2026-08-18,994,91.55,955,4.71,113.75,7,1,0.73,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,18,8,1,0,1,893.0,3.35,921.0,2.96
438,1,2026-08-18,Night,992,42,8.0,438,2026-08-18,1024,96.88,1034,4.06,124.0,15,1,1.45,7.0600000000000005,4,1.76,720.0,712.94,99.02,36.48,1.31,76.56,33.65,180,2,6.74,3.37,12156.97,1,18,8,1,0,2,910.0,4.71,910.33,3.04
4,2,2026-07-20,Morning,890,62,8.0,4,2026-07-20,873,101.95,952,6.51,111.25,24,1,2.52,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,20,7,0,0,0,,,,
5,2,2026-07-20,Afternoon,963,11,8.0,5,2026-07-20,907,106.17,974,1.13,120.38,3,1,0.31,15.49,6,2.58,720.0,704.51,97.85,35.47,1.6,75.4,32.86,180,2,6.7,3.35,10489.34,2,20,7,0,0,1,890.0,6.51,890.0,6.51
