target_id,machine_id,target_date,target_quantity
384,3,2026-08-14,845
385,4,2026-08-14,972
386,4,2026-08-14,967
387,4,2026-08-14,1020
388,5,2026-08-14,998
389,5,2026-08-14,977
390,5,2026-08-14,961
391,1,2026-08-15,1011
392,1,2026-08-15,1017
393,1,2026-08-15,1015
394,2,2026-08-15,905
395,2,2026-08-15,902
396,2,2026-08-15,898
397,3,2026-08-15,784
398,3,2026-08-15,794
399,3,2026-08-15,766
400,4,2026-08-15,998
401,4,2026-08-15,980
402,4,2026-08-15,977
403,5,2026-08-15,953
404,5,2026-08-15,977
405,5,2026-08-15,968
406,1,2026-08-16,968
407,1,2026-08-16,980
408,1,2026-08-16,1018
409,2,2026-08-16,880
410,2,2026-08-16,895
411,2,2026-08-16,911
412,3,2026-08-16,780
413,3,2026-08-16,802
414,3,2026-08-16,773
415,4,2026-08-16,987
416,4,2026-08-16,1006
417,4,2026-08-16,968
418,5,2026-08-16,958
419,5,2026-08-16,949
420,5,2026-08-16,961
421,1,2026-08-17,1004
422,1,2026-08-17,1027
423,1,2026-08-17,1002
424,2,2026-08-17,891
425,2,2026-08-17,902
426,2,2026-08-17,910
427,3,2026-08-17,800
428,3,2026-08-17,800
429,3,2026-08-17,785
430,4,2026-08-17,986
431,4,2026-08-17,971
432,4,2026-08-17,1034
433,5,2026-08-17,925
434,5,2026-08-17,936
435,5,2026-08-17,935
436,1,2026-08-18,1017
437,1,2026-08-18,994
438,1,2026-08-18,1024
439,2,2026-08-18,886
440,2,2026-08-18,905
441,2,2026-08-18,883
442,3,2026-08-18,842
443,3,2026-08-18,776
444,3,2026-08-18,806
445,4,2026-08-18,1012
446,4,2026-08-18,1008
447,4,2026-08-18,996
448,5,2026-08-18,947
449,5,2026-08-18,950
450,5,2026-08-18,947
