sensor_id,machine_id,sensor_type,sensor_value,unit,recorded_at
65,1,Temperature,71.67,°C,2025-08-26 22:00:00
66,1,Vibration,1.89,mm/s,2025-08-26 22:00:00
67,2,Temperature,68.02,°C,2025-08-26 08:00:00
68,2,Vibration,2.6,mm/s,2025-08-26 08:00:00
69,2,Temperature,71.67,°C,2025-08-26 14:00:00
70,2,Vibration,3.16,mm/s,2025-08-26 14:00:00
71,2,Temperature,63.12,°C,2025-08-26 22:00:00
72,2,Vibration,3.43,mm/s,2025-08-26 22:00:00
73,3,Temperature,83.35,°C,2025-08-26 08:00:00
74,3,Vibration,4.23,mm/s,2025-08-26 08:00:00
75,3,Temperature,82.17,°C,2025-08-26 14:00:00
76,3,Vibration,5.52,mm/s,2025-08-26 14:00:00
77,3,Temperature,78.36,°C,2025-08-26 22:00:00
78,3,Vibration,5.69,mm/s,2025-08-26 22:00:00
79,4,Temperature,60.46,°C,2025-08-26 08:00:00
80,4,Vibration,2.1,mm/s,2025-08-26 08:00:00
81,4,Temperature,62.17,°C,2025-08-26 14:00:00
82,4,Vibration,3.19,mm/s,2025-08-26 14:00:00
83,4,Temperature,63.53,°C,2025-08-26 22:00:00
84,4,Vibration,1.92,mm/s,2025-08-26 22:00:00
85,5,Temperature,68.34,°C,2025-08-26 08:00:00
86,5,Vibration,3.03,mm/s,2025-08-26 08:00:00
87,5,Temperature,69.0,°C,2025-08-26 14:00:00
88,5,Vibration,2.56,mm/s,2025-08-26 14:00:00
89,5,Temperature,67.76,°C,2025-08-26 22:00:00
90,5,Vibration,2.37,mm/s,2025-08-26 22:00:00
91,1,Temperature,75.02,°C,2025-08-27 08:00:00
92,1,Vibration,3.57,mm/s,2025-08-27 08:00:00
93,1,Temperature,73.25,°C,2025-08-27 14:00:00
94,1,Vibration,3.4,mm/s,2025-08-27 14:00:00
95,1,Temperature,71.56,°C,2025-08-27 22:00:00
96,1,Vibration,2.38,mm/s,2025-08-27 22:00:00
97,2,Temperature,69.9,°C,2025-08-27 08:00:00
98,2,Vibration,2.86,mm/s,2025-08-27 08:00:00
99,2,Temperature,71.79,°C,2025-08-27 14:00:00
100,2,Vibration,3.2,mm/s,2025-08-27 14:00:00
101,2,Temperature,69.65,°C,2025-08-27 22:00:00
102,2,Vibration,1.96,mm/s,2025-08-27 22:00:00
103,3,Temperature,81.73,°C,2025-08-27 08:00:00
104,3,Vibration,4.72,mm/s,2025-08-27 08:00:00
105,3,Temperature,82.76,°C,2025-08-27 14:00:00
106,3,Vibration,4.79,mm/s,2025-08-27 14:00:00
107,3,Temperature,81.17,°C,2025-08-27 22:00:00
108,3,Vibration,5.23,mm/s,2025-08-27 22:00:00
109,4,Temperature,63.7,°C,2025-08-27 08:00:00
110,4,Vibration,2.56,mm/s,2025-08-27 08:00:00
111,4,Temperature,60.44,°C,2025-08-27 14:00:00
112,4,Vibration,2.08,mm/s,2025-08-27 14:00:00
113,4,Temperature,66.97,°C,2025-08-27 22:00:00
114,4,Vibration,1.88,mm/s,2025-08-27 22:00:00
115,5,Temperature,70.74,°C,2025-08-27 08:00:00
116,5,Vibration,3.19,mm/s,2025-08-27 08:00:00
117,5,Temperature,66.2,°C,2025-08-27 14:00:00
118,5,Vibration,4.2,mm/s,2025-08-27 14:00:00
119,5,Temperature,70.73,°C,2025-08-27 22:00:00
120,5,Vibration,2.23,mm/s,2025-08-27 22:00:00
121,1,Temperature,72.24,°C,2025-08-28 08:00:00
122,1,Vibration,3.03,mm/s,2025-08-28 08:00:00
123,1,Temperature,67.67,°C,2025-08-28 14:00:00
124,1,Vibration,2.47,mm/s,2025-08-28 14:00:00
125,1,Temperature,72.98,°C,2025-08-28 22:00:00
126,1,Vibration,2.7,mm/s,2025-08-28 22:00:00
127,2,Temperature,67.69,°C,2025-08-28 08:00:00
128,2,Vibration,2.34,mm/s,2025-08-28 08:00:00
129,2,Temperature,65.76,°C,2025-08-28 14:00:00
130,2,Vibration,2.74,mm/s,2025-08-28 14:00:00
131,2,Temperature,69.16,°C,2025-08-28 22:00:00
132,2,Vibration,1.51,mm/s,2025-08-28 22:00:00
133,3,Temperature,82.05,°C,2025-08-28 08:00:00
134,3,Vibration,4.63,mm/s,2025-08-28 08:00:00
135,3,Temperature,86.21,°C,2025-08-28 14:00:00
136,3,Vibration,6.47,mm/s,2025-08-28 14:00:00
137,3,Temperature,80.92,°C,2025-08-28 22:00:00
138,3,Vibration,4.14,mm/s,2025-08-28 22:00:00
139,4,Temperature,65.35,°C,2025-08-28 08:00:00
140,4,Vibration,2.4,mm/s,2025-08-28 08:00:00
141,4,Temperature,70.91,°C,2025-08-28 14:00:00
142,4,Vibration,3.33,mm/s,2025-08-28 14:00:00
143,4,Temperature,67.6,°C,2025-08-28 22:00:00
144,4,Vibration,2.21,mm/s,2025-08-28 22:00:00
145,5,Temperature,69.03,°C,2025-08-28 08:00:00
146,5,Vibration,2.83,mm/s,2025-08-28 08:00:00
147,5,Temperature,67.72,°C,2025-08-28 14:00:00
148,5,Vibration,1.92,mm/s,2025-08-28 14:00:00
149,5,Temperature,70.19,°C,2025-08-28 22:00:00
150,5,Vibration,2.75,mm/s,2025-08-28 22:00:00
151,1,Temperature,69.7,°C,2025-08-29 08:00:00
152,1,Vibration,2.7,mm/s,2025-08-29 08:00:00
153,1,Temperature,67.62,°C,2025-08-29 14:00:00
154,1,Vibration,3.16,mm/s,2025-08-29 14:00:00
155,1,Temperature,64.75,°C,2025-08-29 22:00:00
156,1,Vibration,3.39,mm/s,2025-08-29 22:00:00
157,2,Temperature,64.84,°C,2025-08-29 08:00:00
158,2,Vibration,1.77,mm/s,2025-08-29 08:00:00
159,2,Temperature,73.47,°C,2025-08-29 14:00:00
160,2,Vibration,2.37,mm/s,2025-08-29 14:00:00
161,2,Temperature,65.83,°C,2025-08-29 22:00:00
162,2,Vibration,3.37,mm/s,2025-08-29 22:00:00
163,3,Temperature,87.56,°C,2025-08-29 08:00:00
164,3,Vibration,4.23,mm/s,2025-08-29 08:00:00
165,3,Temperature,79.13,°C,2025-08-29 14:00:00
166,3,Vibration,4.56,mm/s,2025-08-29 14:00:00
167,3,Temperature,84.8,°C,2025-08-29 22:00:00
168,3,Vibration,5.82,mm/s,2025-08-29 22:00:00
169,4,Temperature,61.76,°C,2025-08-29 08:00:00
170,4,Vibration,3.21,mm/s,2025-08-29 08:00:00
171,4,Temperature,62.87,°C,2025-08-29 14:00:00
172,4,Vibration,2.67,mm/s,2025-08-29 14:00:00
173,4,Temperature,61.19,°C,2025-08-29 22:00:00
174,4,Vibration,2.44,mm/s,2025-08-29 22:00:00
175,5,Temperature,66.67,°C,2025-08-29 08:00:00
176,5,Vibration,2.54,mm/s,2025-08-29 08:00:00
177,5,Temperature,68.15,°C,2025-08-29 14:00:00
178,5,Vibration,2.2,mm/s,2025-08-29 14:00:00
179,5,Temperature,64.35,°C,2025-08-29 22:00:00
180,5,Vibration,2.92,mm/s,2025-08-29 22:00:00
181,1,Temperature,74.03,°C,2025-08-30 08:00:00
182,1,Vibration,2.99,mm/s,2025-08-30 08:00:00
183,1,Temperature,71.51,°C,2025-08-30 14:00:00
184,1,Vibration,3.38,mm/s,2025-08-30 14:00:00
185,1,Temperature,72.49,°C,2025-08-30 22:00:00
186,1,Vibration,2.52,mm/s,2025-08-30 22:00:00
187,2,Temperature,65.67,°C,2025-08-30 08:00:00
188,2,Vibration,2.45,mm/s,2025-08-30 08:00:00
189,2,Temperature,73.79,°C,2025-08-30 14:00:00
190,2,Vibration,3.05,mm/s,2025-08-30 14:00:00
191,2,Temperature,69.39,°C,2025-08-30 22:00:00
192,2,Vibration,2.98,mm/s,2025-08-30 22:00:00
193,3,Temperature,78.04,°C,2025-08-30 08:00:00
194,3,Vibration,5.97,mm/s,2025-08-30 08:00:00
195,3,Temperature,83.44,°C,2025-08-30 14:00:00
196,3,Vibration,5.36,mm/s,2025-08-30 14:00:00
197,3,Temperature,76.7,°C,2025-08-30 22:00:00
198,3,Vibration,5.39,mm/s,2025-08-30 22:00:00
199,4,Temperature,63.93,°C,2025-08-30 08:00:00
200,4,Vibration,1.84,mm/s,2025-08-30 08:00:00
201,4,Temperature,62.14,°C,2025-08-30 14:00:00
202,4,Vibration,1.87,mm/s,2025-08-30 14:00:00
203,4,Temperature,61.15,°C,2025-08-30 22:00:00
204,4,Vibration,2.53,mm/s,2025-08-30 22:00:00
205,5,Temperature,65.84,°C,2025-08-30 08:00:00
206,5,Vibration,2.87,mm/s,2025-08-30 08:00:00
207,5,Temperature,72.03,°C,2025-08-30 14:00:00
208,5,Vibration,2.64,mm/s,2025-08-30 14:00:00
209,5,Temperature,60.27,°C,2025-08-30 22:00:00
210,5,Vibration,2.58,mm/s,2025-08-30 22:00:00
211,1,Temperature,73.58,°C,2025-08-31 08:00:00
212,1,Vibration,2.96,mm/s,2025-08-31 08:00:00
213,1,Temperature,74.59,°C,2025-08-31 14:00:00
214,1,Vibration,3.23,mm/s,2025-08-31 14:00:00
215,1,Temperature,64.49,°C,2025-08-31 22:00:00
216,1,Vibration,3.05,mm/s,2025-08-31 22:00:00
217,2,Temperature,68.89,°C,2025-08-31 08:00:00
218,2,Vibration,3.34,mm/s,2025-08-31 08:00:00
219,2,Temperature,73.46,°C,2025-08-31 14:00:00
220,2,Vibration,3.25,mm/s,2025-08-31 14:00:00
221,2,Temperature,69.32,°C,2025-08-31 22:00:00
222,2,Vibration,3.14,mm/s,2025-08-31 22:00:00
223,3,Temperature,81.5,°C,2025-08-31 08:00:00
224,3,Vibration,4.27,mm/s,2025-08-31 08:00:00
225,3,Temperature,82.12,°C,2025-08-31 14:00:00
226,3,Vibration,5.18,mm/s,2025-08-31 14:00:00
227,3,Temperature,78.39,°C,2025-08-31 22:00:00
228,3,Vibration,5.66,mm/s,2025-08-31 22:00:00
229,4,Temperature,68.02,°C,2025-08-31 08:00:00
230,4,Vibration,1.81,mm/s,2025-08-31 08:00:00
231,4,Temperature,69.1,°C,2025-08-31 14:00:00
232,4,Vibration,2.35,mm/s,2025-08-31 14:00:00
233,4,Temperature,62.66,°C,2025-08-31 22:00:00
234,4,Vibration,3.04,mm/s,2025-08-31 22:00:00
235,5,Temperature,66.85,°C,2025-08-31 08:00:00
236,5,Vibration,3.65,mm/s,2025-08-31 08:00:00
237,5,Temperature,64.44,°C,2025-08-31 14:00:00
238,5,Vibration,1.83,mm/s,2025-08-31 14:00:00
239,5,Temperature,66.16,°C,2025-08-31 22:00:00
240,5,Vibration,3.09,mm/s,2025-08-31 22:00:00
241,1,Temperature,67.22,°C,2025-09-01 08:00:00
242,1,Vibration,2.33,mm/s,2025-09-01 08:00:00
243,1,Temperature,70.69,°C,2025-09-01 14:00:00
244,1,Vibration,2.27,mm/s,2025-09-01 14:00:00
245,1,Temperature,70.92,°C,2025-09-01 22:00:00
246,1,Vibration,2.83,mm/s,2025-09-01 22:00:00
247,2,Temperature,69.48,°C,2025-09-01 08:00:00
248,2,Vibration,2.11,mm/s,2025-09-01 08:00:00
249,2,Temperature,71.89,°C,2025-09-01 14:00:00
250,2,Vibration,2.71,mm/s,2025-09-01 14:00:00
251,2,Temperature,70.29,°C,2025-09-01 22:00:00
252,2,Vibration,3.28,mm/s,2025-09-01 22:00:00
253,3,Temperature,78.53,°C,2025-09-01 08:00:00
254,3,Vibration,5.44,mm/s,2025-09-01 08:00:00
255,3,Temperature,77.72,°C,2025-09-01 14:00:00
256,3,Vibration,4.31,mm/s,2025-09-01 14:00:00
257,3,Temperature,87.89,°C,2025-09-01 22:00:00
258,3,Vibration,5.56,mm/s,2025-09-01 22:00:00
259,4,Temperature,71.22,°C,2025-09-01 08:00:00
260,4,Vibration,2.31,mm/s,2025-09-01 08:00:00
261,4,Temperature,65.31,°C,2025-09-01 14:00:00
262,4,Vibration,2.76,mm/s,2025-09-01 14:00:00
263,4,Temperature,64.96,°C,2025-09-01 22:00:00
264,4,Vibration,2.13,mm/s,2025-09-01 22:00:00
265,5,Temperature,64.31,°C,2025-09-01 08:00:00
266,5,Vibration,2.81,mm/s,2025-09-01 08:00:00
267,5,Temperature,63.8,°C,2025-09-01 14:00:00
268,5,Vibration,2.15,mm/s,2025-09-01 14:00:00
269,5,Temperature,68.18,°C,2025-09-01 22:00:00
270,5,Vibration,2.65,mm/s,2025-09-01 22:00:00
271,1,Temperature,72.81,°C,2025-09-02 08:00:00
272,1,Vibration,2.79,mm/s,2025-09-02 08:00:00
273,1,Temperature,68.26,°C,2025-09-02 14:00:00
274,1,Vibration,3.21,mm/s,2025-09-02 14:00:00
275,1,Temperature,67.56,°C,2025-09-02 22:00:00
276,1,Vibration,2.67,mm/s,2025-09-02 22:00:00
277,2,Temperature,66.14,°C,2025-09-02 08:00:00
278,2,Vibration,2.7,mm/s,2025-09-02 08:00:00
279,2,Temperature,73.32,°C,2025-09-02 14:00:00
280,2,Vibration,2.11,mm/s,2025-09-02 14:00:00
281,2,Temperature,71.89,°C,2025-09-02 22:00:00
282,2,Vibration,3.17,mm/s,2025-09-02 22:00:00
283,3,Temperature,86.7,°C,2025-09-02 08:00:00
284,3,Vibration,6.57,mm/s,2025-09-02 08:00:00
285,3,Temperature,86.29,°C,2025-09-02 14:00:00
286,3,Vibration,5.46,mm/s,2025-09-02 14:00:00
287,3,Temperature,78.06,°C,2025-09-02 22:00:00
288,3,Vibration,4.41,mm/s,2025-09-02 22:00:00
289,4,Temperature,66.08,°C,2025-09-02 08:00:00
290,4,Vibration,1.65,mm/s,2025-09-02 08:00:00
291,4,Temperature,66.85,°C,2025-09-02 14:00:00
292,4,Vibration,1.43,mm/s,2025-09-02 14:00:00
293,4,Temperature,68.46,°C,2025-09-02 22:00:00
294,4,Vibration,2.34,mm/s,2025-09-02 22:00:00
295,5,Temperature,67.38,°C,2025-09-02 08:00:00
296,5,Vibration,2.33,mm/s,2025-09-02 08:00:00
297,5,Temperature,61.3,°C,2025-09-02 14:00:00
298,5,Vibration,3.32,mm/s,2025-09-02 14:00:00
299,5,Temperature,71.01,°C,2025-09-02 22:00:00
300,5,Vibration,2.52,mm/s,2025-09-02 22:00:00
301,1,Temperature,71.99,°C,2025-09-03 08:00:00
302,1,Vibration,2.8,mm/s,2025-09-03 08:00:00
303,1,Temperature,70.87,°C,2025-09-03 14:00:00
304,1,Vibration,3.38,mm/s,2025-09-03 14:00:00
305,1,Temperature,71.67,°C,2025-09-03 22:00:00
306,1,Vibration,3.67,mm/s,2025-09-03 22:00:00
307,2,Temperature,69.56,°C,2025-09-03 08:00:00
308,2,Vibration,2.81,mm/s,2025-09-03 08:00:00
309,2,Temperature,65.72,°C,2025-09-03 14:00:00
310,2,Vibration,2.56,mm/s,2025-09-03 14:00:00
311,2,Temperature,70.43,°C,2025-09-03 22:00:00
312,2,Vibration,2.05,mm/s,2025-09-03 22:00:00
313,3,Temperature,85.32,°C,2025-09-03 08:00:00
314,3,Vibration,4.86,mm/s,2025-09-03 08:00:00
315,3,Temperature,79.54,°C,2025-09-03 14:00:00
316,3,Vibration,4.45,mm/s,2025-09-03 14:00:00
317,3,Temperature,84.02,°C,2025-09-03 22:00:00
318,3,Vibration,4.99,mm/s,2025-09-03 22:00:00
319,4,Temperature,69.77,°C,2025-09-03 08:00:00
320,4,Vibration,1.87,mm/s,2025-09-03 08:00:00
321,4,Temperature,63.27,°C,2025-09-03 14:00:00
322,4,Vibration,2.45,mm/s,2025-09-03 14:00:00
323,4,Temperature,62.74,°C,2025-09-03 22:00:00
324,4,Vibration,2.5,mm/s,2025-09-03 22:00:00
325,5,Temperature,67.96,°C,2025-09-03 08:00:00
326,5,Vibration,2.94,mm/s,2025-09-03 08:00:00
327,5,Temperature,71.52,°C,2025-09-03 14:00:00
328,5,Vibration,2.05,mm/s,2025-09-03 14:00:00
329,5,Temperature,68.01,°C,2025-09-03 22:00:00
330,5,Vibration,2.38,mm/s,2025-09-03 22:00:00
331,1,Temperature,71.29,°C,2025-09-04 08:00:00
332,1,Vibration,3.22,mm/s,2025-09-04 08:00:00
333,1,Temperature,67.04,°C,2025-09-04 14:00:00
334,1,Vibration,2.55,mm/s,2025-09-04 14:00:00
335,1,Temperature,71.53,°C,2025-09-04 22:00:00
336,1,Vibration,3.01,mm/s,2025-09-04 22:00:00
337,2,Temperature,67.34,°C,2025-09-04 08:00:00
338,2,Vibration,3.13,mm/s,2025-09-04 08:00:00
339,2,Temperature,70.2,°C,2025-09-04 14:00:00
340,2,Vibration,2.54,mm/s,2025-09-04 14:00:00
341,2,Temperature,65.44,°C,2025-09-04 22:00:00
342,2,Vibration,2.17,mm/s,2025-09-04 22:00:00
343,3,Temperature,82.1,°C,2025-09-04 08:00:00
344,3,Vibration,4.29,mm/s,2025-09-04 08:00:00
345,3,Temperature,82.3,°C,2025-09-04 14:00:00
346,3,Vibration,5.61,mm/s,2025-09-04 14:00:00
347,3,Temperature,80.94,°C,2025-09-04 22:00:00
348,3,Vibration,4.73,mm/s,2025-09-04 22:00:00
349,4,Temperature,70.99,°C,2025-09-04 08:00:00
350,4,Vibration,3.25,mm/s,2025-09-04 08:00:00
351,4,Temperature,62.71,°C,2025-09-04 14:00:00
352,4,Vibration,2.57,mm/s,2025-09-04 14:00:00
353,4,Temperature,65.99,°C,2025-09-04 22:00:00
354,4,Vibration,2.6,mm/s,2025-09-04 22:00:00
355,5,Temperature,72.44,°C,2025-09-04 08:00:00
356,5,Vibration,2.74,mm/s,2025-09-04 08:00:00
357,5,Temperature,67.71,°C,2025-09-04 14:00:00
358,5,Vibration,3.04,mm/s,2025-09-04 14:00:00
359,5,Temperature,70.57,°C,2025-09-04 22:00:00
360,5,Vibration,3.17,mm/s,2025-09-04 22:00:00
361,1,Temperature,71.61,°C,2025-09-05 08:00:00
362,1,Vibration,2.22,mm/s,2025-09-05 08:00:00
363,1,Temperature,68.54,°C,2025-09-05 14:00:00
364,1,Vibration,3.41,mm/s,2025-09-05 14:00:00
365,1,Temperature,70.75,°C,2025-09-05 22:00:00
366,1,Vibration,3.41,mm/s,2025-09-05 22:00:00
367,2,Temperature,73.66,°C,2025-09-05 08:00:00
368,2,Vibration,2.21,mm/s,2025-09-05 08:00:00
369,2,Temperature,71.41,°C,2025-09-05 14:00:00
370,2,Vibration,2.63,mm/s,2025-09-05 14:00:00
371,2,Temperature,70.81,°C,2025-09-05 22:00:00
372,2,Vibration,2.78,mm/s,2025-09-05 22:00:00
373,3,Temperature,88.38,°C,2025-09-05 08:00:00
374,3,Vibration,5.07,mm/s,2025-09-05 08:00:00
375,3,Temperature,80.08,°C,2025-09-05 14:00:00
376,3,Vibration,5.21,mm/s,2025-09-05 14:00:00
377,3,Temperature,82.97,°C,2025-09-05 22:00:00
378,3,Vibration,5.57,mm/s,2025-09-05 22:00:00
379,4,Temperature,66.34,°C,2025-09-05 08:00:00
380,4,Vibration,3.74,mm/s,2025-09-05 08:00:00
381,4,Temperature,64.67,°C,2025-09-05 14:00:00
382,4,Vibration,2.45,mm/s,2025-09-05 14:00:00
383,4,Temperature,63.19,°C,2025-09-05 22:00:00
384,4,Vibration,2.54,mm/s,2025-09-05 22:00:00
385,5,Temperature,67.69,°C,2025-09-05 08:00:00
386,5,Vibration,2.84,mm/s,2025-09-05 08:00:00
387,5,Temperature,67.2,°C,2025-09-05 14:00:00
388,5,Vibration,2.4,mm/s,2025-09-05 14:00:00
389,5,Temperature,64.36,°C,2025-09-05 22:00:00
390,5,Vibration,2.51,mm/s,2025-09-05 22:00:00
391,1,Temperature,73.42,°C,2025-09-06 08:00:00
392,1,Vibration,3.68,mm/s,2025-09-06 08:00:00
393,1,Temperature,69.77,°C,2025-09-06 14:00:00
394,1,Vibration,2.53,mm/s,2025-09-06 14:00:00
395,1,Temperature,69.76,°C,2025-09-06 22:00:00
396,1,Vibration,4.05,mm/s,2025-09-06 22:00:00
397,2,Temperature,71.0,°C,2025-09-06 08:00:00
398,2,Vibration,3.08,mm/s,2025-09-06 08:00:00
399,2,Temperature,70.89,°C,2025-09-06 14:00:00
400,2,Vibration,3.57,mm/s,2025-09-06 14:00:00
401,2,Temperature,64.54,°C,2025-09-06 22:00:00
402,2,Vibration,2.6,mm/s,2025-09-06 22:00:00
403,3,Temperature,80.41,°C,2025-09-06 08:00:00
404,3,Vibration,5.29,mm/s,2025-09-06 08:00:00
405,3,Temperature,82.48,°C,2025-09-06 14:00:00
406,3,Vibration,5.38,mm/s,2025-09-06 14:00:00
407,3,Temperature,80.48,°C,2025-09-06 22:00:00
408,3,Vibration,5.69,mm/s,2025-09-06 22:00:00
409,4,Temperature,64.79,°C,2025-09-06 08:00:00
410,4,Vibration,2.85,mm/s,2025-09-06 08:00:00
411,4,Temperature,68.59,°C,2025-09-06 14:00:00
412,4,Vibration,3.06,mm/s,2025-09-06 14:00:00
413,4,Temperature,66.08,°C,2025-09-06 22:00:00
414,4,Vibration,2.91,mm/s,2025-09-06 22:00:00
415,5,Temperature,72.22,°C,2025-09-06 08:00:00
416,5,Vibration,2.96,mm/s,2025-09-06 08:00:00
417,5,Temperature,64.81,°C,2025-09-06 14:00:00
418,5,Vibration,2.99,mm/s,2025-09-06 14:00:00
419,5,Temperature,66.89,°C,2025-09-06 22:00:00
420,5,Vibration,1.53,mm/s,2025-09-06 22:00:00
421,1,Temperature,71.39,°C,2025-09-07 08:00:00
422,1,Vibration,3.06,mm/s,2025-09-07 08:00:00
423,1,Temperature,73.47,°C,2025-09-07 14:00:00
424,1,Vibration,2.62,mm/s,2025-09-07 14:00:00
425,1,Temperature,65.48,°C,2025-09-07 22:00:00
426,1,Vibration,3.08,mm/s,2025-09-07 22:00:00
427,2,Temperature,69.14,°C,2025-09-07 08:00:00
428,2,Vibration,2.85,mm/s,2025-09-07 08:00:00
429,2,Temperature,68.06,°C,2025-09-07 14:00:00
430,2,Vibration,2.27,mm/s,2025-09-07 14:00:00
431,2,Temperature,67.58,°C,2025-09-07 22:00:00
432,2,Vibration,2.63,mm/s,2025-09-07 22:00:00
433,3,Temperature,85.22,°C,2025-09-07 08:00:00
434,3,Vibration,5.19,mm/s,2025-09-07 08:00:00
435,3,Temperature,81.17,°C,2025-09-07 14:00:00
436,3,Vibration,5.86,mm/s,2025-09-07 14:00:00
437,3,Temperature,81.19,°C,2025-09-07 22:00:00
438,3,Vibration,5.28,mm/s,2025-09-07 22:00:00
439,4,Temperature,64.5,°C,2025-09-07 08:00:00
440,4,Vibration,3.32,mm/s,2025-09-07 08:00:00
441,4,Temperature,65.26,°C,2025-09-07 14:00:00
442,4,Vibration,2.56,mm/s,2025-09-07 14:00:00
443,4,Temperature,64.58,°C,2025-09-07 22:00:00
444,4,Vibration,2.6,mm/s,2025-09-07 22:00:00
445,5,Temperature,70.6,°C,2025-09-07 08:00:00
446,5,Vibration,3.12,mm/s,2025-09-07 08:00:00
447,5,Temperature,67.08,°C,2025-09-07 14:00:00
448,5,Vibration,3.55,mm/s,2025-09-07 14:00:00
449,5,Temperature,69.62,°C,2025-09-07 22:00:00
450,5,Vibration,2.48,mm/s,2025-09-07 22:00:00
451,1,Temperature,65.86,°C,2025-09-08 08:00:00
452,1,Vibration,2.79,mm/s,2025-09-08 08:00:00
453,1,Temperature,71.24,°C,2025-09-08 14:00:00
454,1,Vibration,3.3,mm/s,2025-09-08 14:00:00
455,1,Temperature,74.08,°C,2025-09-08 22:00:00
456,1,Vibration,2.45,mm/s,2025-09-08 22:00:00
457,2,Temperature,66.68,°C,2025-09-08 08:00:00
458,2,Vibration,2.21,mm/s,2025-09-08 08:00:00
459,2,Temperature,63.98,°C,2025-09-08 14:00:00
460,2,Vibration,2.49,mm/s,2025-09-08 14:00:00
461,2,Temperature,69.1,°C,2025-09-08 22:00:00
462,2,Vibration,3.19,mm/s,2025-09-08 22:00:00
463,3,Temperature,79.15,°C,2025-09-08 08:00:00
464,3,Vibration,4.6,mm/s,2025-09-08 08:00:00
