log_id,production_id,machine_id,employee_id,log_date,quantity_produced
79,79,2,2,2025-08-29,837
80,80,2,2,2025-08-29,902
81,81,2,2,2025-08-29,863
82,82,3,3,2025-08-29,861
83,83,3,3,2025-08-29,768
84,84,3,3,2025-08-29,787
85,85,4,4,2025-08-29,1012
86,86,4,4,2025-08-29,930
87,87,4,4,2025-08-29,915
88,88,5,5,2025-08-29,937
89,89,5,5,2025-08-29,940
90,90,5,5,2025-08-29,961
91,91,1,1,2025-08-30,970
92,92,1,1,2025-08-30,961
93,93,1,1,2025-08-30,922
94,94,2,2,2025-08-30,909
95,95,2,2,2025-08-30,911
96,96,2,2,2025-08-30,871
97,97,3,3,2025-08-30,874
98,98,3,3,2025-08-30,818
99,99,3,3,2025-08-30,761
100,100,4,4,2025-08-30,1011
101,101,4,4,2025-08-30,1018
102,102,4,4,2025-08-30,996
103,103,5,5,2025-08-30,920
104,104,5,5,2025-08-30,899
105,105,5,5,2025-08-30,926
106,106,1,1,2025-08-31,963
107,107,1,1,2025-08-31,950
108,108,1,1,2025-08-31,1008
109,109,2,2,2025-08-31,925
110,110,2,2,2025-08-31,865
111,111,2,2,2025-08-31,857
112,112,3,3,2025-08-31,819
113,113,3,3,2025-08-31,791
114,114,3,3,2025-08-31,828
115,115,4,4,2025-08-31,998
116,116,4,4,2025-08-31,977
117,117,4,4,2025-08-31,946
118,118,5,5,2025-08-31,869
119,119,5,5,2025-08-31,938
120,120,5,5,2025-08-31,880
121,121,1,1,2025-09-01,914
122,122,1,1,2025-09-01,956
123,123,1,1,2025-09-01,952
124,124,2,2,2025-09-01,854
125,125,2,2,2025-09-01,943
126,126,2,2,2025-09-01,942
127,127,3,3,2025-09-01,820
128,128,3,3,2025-09-01,820
129,129,3,3,2025-09-01,820
130,130,4,4,2025-09-01,1134
131,131,4,4,2025-09-01,1018
132,132,4,4,2025-09-01,1006
133,133,5,5,2025-09-01,899
134,134,5,5,2025-09-01,920
135,135,5,5,2025-09-01,1022
136,136,1,1,2025-09-02,875
137,137,1,1,2025-09-02,931
138,138,1,1,2025-09-02,993
139,139,2,2,2025-09-02,871
140,140,2,2,2025-09-02,927
141,141,2,2,2025-09-02,901
142,142,3,3,2025-09-02,773
143,143,3,3,2025-09-02,718
144,144,3,3,2025-09-02,807
145,145,4,4,2025-09-02,948
146,146,4,4,2025-09-02,975
147,147,4,4,2025-09-02,1000
148,148,5,5,2025-09-02,964
149,149,5,5,2025-09-02,911
150,150,5,5,2025-09-02,903
151,151,1,1,2025-09-03,899
152,152,1,1,2025-09-03,986
153,153,1,1,2025-09-03,1034
154,154,2,2,2025-09-03,941
155,155,2,2,2025-09-03,950
156,156,2,2,2025-09-03,871
157,157,3,3,2025-09-03,817
158,158,3,3,2025-09-03,830
159,159,3,3,2025-09-03,670
160,160,4,4,2025-09-03,939
161,161,4,4,2025-09-03,1045
162,162,4,4,2025-09-03,922
163,163,5,5,2025-09-03,987
164,164,5,5,2025-09-03,872
165,165,5,5,2025-09-03,890
166,166,1,1,2025-09-04,968
167,167,1,1,2025-09-04,952
168,168,1,1,2025-09-04,934
169,169,2,2,2025-09-04,963
170,170,2,2,2025-09-04,850
171,171,2,2,2025-09-04,893
172,172,3,3,2025-09-04,823
173,173,3,3,2025-09-04,811
174,174,3,3,2025-09-04,775
175,175,4,4,2025-09-04,956
176,176,4,4,2025-09-04,1013
177,177,4,4,2025-09-04,1015
178,178,5,5,2025-09-04,942
179,179,5,5,2025-09-04,896
180,180,5,5,2025-09-04,907
181,181,1,1,2025-09-05,949
182,182,1,1,2025-09-05,954
183,183,1,1,2025-09-05,971
184,184,2,2,2025-09-05,891
185,185,2,2,2025-09-05,933
186,186,2,2,2025-09-05,932
187,187,3,3,2025-09-05,852
188,188,3,3,2025-09-05,800
189,189,3,3,2025-09-05,812
190,190,4,4,2025-09-05,974
191,191,4,4,2025-09-05,947
192,192,4,4,2025-09-05,1063
193,193,5,5,2025-09-05,976
194,194,5,5,2025-09-05,961
195,195,5,5,2025-09-05,929
196,196,1,1,2025-09-06,914
197,197,1,1,2025-09-06,989
198,198,1,1,2025-09-06,944
199,199,2,2,2025-09-06,916
200,200,2,2,2025-09-06,877
201,201,2,2,2025-09-06,909
202,202,3,3,2025-09-06,779
203,203,3,3,2025-09-06,781
204,204,3,3,2025-09-06,809
205,205,4,4,2025-09-06,922
206,206,4,4,2025-09-06,923
207,207,4,4,2025-09-06,951
208,208,5,5,2025-09-06,921
209,209,5,5,2025-09-06,964
210,210,5,5,2025-09-06,923
211,211,1,1,2025-09-07,949
212,212,1,1,2025-09-07,938
213,213,1,1,2025-09-07,962
214,214,2,2,2025-09-07,866
215,215,2,2,2025-09-07,895
216,216,2,2,2025-09-07,916
217,217,3,3,2025-09-07,808
218,218,3,3,2025-09-07,800
219,219,3,3,2025-09-07,800
220,220,4,4,2025-09-07,999
221,221,4,4,2025-09-07,1066
222,222,4,4,2025-09-07,949
223,223,5,5,2025-09-07,1017
224,224,5,5,2025-09-07,897
225,225,5,5,2025-09-07,845
226,226,1,1,2025-09-08,928
227,227,1,1,2025-09-08,963
228,228,1,1,2025-09-08,1025
229,229,2,2,2025-09-08,864
230,230,2,2,2025-09-08,919
231,231,2,2,2025-09-08,847
232,232,3,3,2025-09-08,873
233,233,3,3,2025-09-08,847
234,234,3,3,2025-09-08,781
235,235,4,4,2025-09-08,911
236,236,4,4,2025-09-08,1034
237,237,4,4,2025-09-08,975
238,238,5,5,2025-09-08,979
239,239,5,5,2025-09-08,930
240,240,5,5,2025-09-08,931
241,241,1,1,2025-09-09,931
242,242,1,1,2025-09-09,974
243,243,1,1,2025-09-09,954
244,244,2,2,2025-09-09,920
245,245,2,2,2025-09-09,838
246,246,2,2,2025-09-09,951
247,247,3,3,2025-09-09,862
248,248,3,3,2025-09-09,804
249,249,3,3,2025-09-09,882
250,250,4,4,2025-09-09,1050
251,251,4,4,2025-09-09,1005
252,252,4,4,2025-09-09,1034
253,253,5,5,2025-09-09,972
254,254,5,5,2025-09-09,859
255,255,5,5,2025-09-09,919
256,256,1,1,2025-09-10,978
257,257,1,1,2025-09-10,1015
258,258,1,1,2025-09-10,894
259,259,2,2,2025-09-10,831
260,260,2,2,2025-09-10,897
261,261,2,2,2025-09-10,817
262,262,3,3,2025-09-10,796
263,263,3,3,2025-09-10,814
264,264,3,3,2025-09-10,762
265,265,4,4,2025-09-10,977
266,266,4,4,2025-09-10,1018
267,267,4,4,2025-09-10,958
268,268,5,5,2025-09-10,898
269,269,5,5,2025-09-10,925
270,270,5,5,2025-09-10,888
271,271,1,1,2025-09-11,1028
272,272,1,1,2025-09-11,951
273,273,1,1,2025-09-11,922
274,274,2,2,2025-09-11,908
275,275,2,2,2025-09-11,895
276,276,2,2,2025-09-11,891
277,277,3,3,2025-09-11,778
278,278,3,3,2025-09-11,776
279,279,3,3,2025-09-11,739
280,280,4,4,2025-09-11,1034
281,281,4,4,2025-09-11,1003
282,282,4,4,2025-09-11,992
283,283,5,5,2025-09-11,924
284,284,5,5,2025-09-11,891
285,285,5,5,2025-09-11,899
286,286,1,1,2025-09-12,893
287,287,1,1,2025-09-12,924
288,288,1,1,2025-09-12,906
289,289,2,2,2025-09-12,967
290,290,2,2,2025-09-12,935
291,291,2,2,2025-09-12,903
292,292,3,3,2025-09-12,765
293,293,3,3,2025-09-12,758
294,294,3,3,2025-09-12,792
295,295,4,4,2025-09-12,1017
296,296,4,4,2025-09-12,1056
297,297,4,4,2025-09-12,924
298,298,5,5,2025-09-12,952
299,299,5,5,2025-09-12,903
300,300,5,5,2025-09-12,910
301,301,1,1,2025-09-13,951
302,302,1,1,2025-09-13,916
303,303,1,1,2025-09-13,940
304,304,2,2,2025-09-13,863
305,305,2,2,2025-09-13,876
306,306,2,2,2025-09-13,930
307,307,3,3,2025-09-13,803
308,308,3,3,2025-09-13,830
309,309,3,3,2025-09-13,773
310,310,4,4,2025-09-13,1002
311,311,4,4,2025-09-13,914
312,312,4,4,2025-09-13,981
313,313,5,5,2025-09-13,955
314,314,5,5,2025-09-13,863
315,315,5,5,2025-09-13,903
316,316,1,1,2025-09-14,951
317,317,1,1,2025-09-14,990
318,318,1,1,2025-09-14,926
319,319,2,2,2025-09-14,921
320,320,2,2,2025-09-14,957
321,321,2,2,2025-09-14,923
322,322,3,3,2025-09-14,791
323,323,3,3,2025-09-14,814
324,324,3,3,2025-09-14,775
325,325,4,4,2025-09-14,983
326,326,4,4,2025-09-14,973
327,327,4,4,2025-09-14,993
328,328,5,5,2025-09-14,913
329,329,5,5,2025-09-14,945
330,330,5,5,2025-09-14,913
331,331,1,1,2025-09-15,984
332,332,1,1,2025-09-15,936
333,333,1,1,2025-09-15,868
334,334,2,2,2025-09-15,859
335,335,2,2,2025-09-15,900
336,336,2,2,2025-09-15,967
337,337,3,3,2025-09-15,833
338,338,3,3,2025-09-15,711
339,339,3,3,2025-09-15,740
340,340,4,4,2025-09-15,1025
341,341,4,4,2025-09-15,1005
342,342,4,4,2025-09-15,1070
343,343,5,5,2025-09-15,911
344,344,5,5,2025-09-15,896
345,345,5,5,2025-09-15,932
346,346,1,1,2025-09-16,930
347,347,1,1,2025-09-16,991
348,348,1,1,2025-09-16,929
349,349,2,2,2025-09-16,889
350,350,2,2,2025-09-16,860
351,351,2,2,2025-09-16,930
352,352,3,3,2025-09-16,763
353,353,3,3,2025-09-16,816
354,354,3,3,2025-09-16,875
355,355,4,4,2025-09-16,908
356,356,4,4,2025-09-16,1039
357,357,4,4,2025-09-16,991
358,358,5,5,2025-09-16,884
359,359,5,5,2025-09-16,934
360,360,5,5,2025-09-16,959
361,361,1,1,2025-09-17,918
362,362,1,1,2025-09-17,968
363,363,1,1,2025-09-17,1013
364,364,2,2,2025-09-17,879
365,365,2,2,2025-09-17,860
366,366,2,2,2025-09-17,894
367,367,3,3,2025-09-17,802
368,368,3,3,2025-09-17,843
369,369,3,3,2025-09-17,793
370,370,4,4,2025-09-17,962
371,371,4,4,2025-09-17,939
372,372,4,4,2025-09-17,913
373,373,5,5,2025-09-17,878
374,374,5,5,2025-09-17,878
375,375,5,5,2025-09-17,919
376,376,1,1,2025-09-18,889
377,377,1,1,2025-09-18,842
378,378,1,1,2025-09-18,947
379,379,2,2,2025-09-18,973
380,380,2,2,2025-09-18,945
381,381,2,2,2025-09-18,889
382,382,3,3,2025-09-18,755
383,383,3,3,2025-09-18,902
384,384,3,3,2025-09-18,802
385,385,4,4,2025-09-18,987
386,386,4,4,2025-09-18,974
387,387,4,4,2025-09-18,978
388,388,5,5,2025-09-18,908
389,389,5,5,2025-09-18,919
390,390,5,5,2025-09-18,990
391,391,1,1,2025-09-19,999
392,392,1,1,2025-09-19,867
393,393,1,1,2025-09-19,893
394,394,2,2,2025-09-19,868
395,395,2,2,2025-09-19,937
396,396,2,2,2025-09-19,950
397,397,3,3,2025-09-19,828
398,398,3,3,2025-09-19,754
399,399,3,3,2025-09-19,779
400,400,4,4,2025-09-19,999
401,401,4,4,2025-09-19,970
402,402,4,4,2025-09-19,965
403,403,5,5,2025-09-19,915
404,404,5,5,2025-09-19,976
405,405,5,5,2025-09-19,953
406,406,1,1,2025-09-20,937
407,407,1,1,2025-09-20,963
408,408,1,1,2025-09-20,899
409,409,2,2,2025-09-20,879
410,410,2,2,2025-09-20,941
411,411,2,2,2025-09-20,837
412,412,3,3,2025-09-20,824
413,413,3,3,2025-09-20,716
414,414,3,3,2025-09-20,867
415,415,4,4,2025-09-20,958
416,416,4,4,2025-09-20,995
417,417,4,4,2025-09-20,984
418,418,5,5,2025-09-20,936
419,419,5,5,2025-09-20,942
420,420,5,5,2025-09-20,861
421,421,1,1,2025-09-21,956
422,422,1,1,2025-09-21,942
423,423,1,1,2025-09-21,928
424,424,2,2,2025-09-21,868
425,425,2,2,2025-09-21,907
426,426,2,2,2025-09-21,860
427,427,3,3,2025-09-21,841
428,428,3,3,2025-09-21,818
429,429,3,3,2025-09-21,810
430,430,4,4,2025-09-21,1019
431,431,4,4,2025-09-21,906
432,432,4,4,2025-09-21,928
433,433,5,5,2025-09-21,950
434,434,5,5,2025-09-21,900
435,435,5,5,2025-09-21,905
436,436,1,1,2025-09-22,893
437,437,1,1,2025-09-22,910
438,438,1,1,2025-09-22,992
439,439,2,2,2025-09-22,919
440,440,2,2,2025-09-22,907
441,441,2,2,2025-09-22,876
442,442,3,3,2025-09-22,804
443,443,3,3,2025-09-22,845
444,444,3,3,2025-09-22,771
445,445,4,4,2025-09-22,978
446,446,4,4,2025-09-22,1050
447,447,4,4,2025-09-22,1008
448,448,5,5,2025-09-22,907
449,449,5,5,2025-09-22,954
450,450,5,5,2025-09-22,867
451,451,1,1,2025-09-23,947
452,452,1,1,2025-09-23,974
453,453,1,1,2025-09-23,965
454,454,2,2,2025-09-23,924
455,455,2,2,2025-09-23,933
456,456,2,2,2025-09-23,918
457,457,3,3,2025-09-23,817
458,458,3,3,2025-09-23,808
459,459,3,3,2025-09-23,756
460,460,4,4,2025-09-23,1022
461,461,4,4,2025-09-23,978
462,462,4,4,2025-09-23,1007
463,463,5,5,2025-09-23,967
464,464,5,5,2025-09-23,909
465,465,5,5,2025-09-23,912
466,466,1,1,2025-09-24,937
467,467,1,1,2025-09-24,1000
468,468,1,1,2025-09-24,914
469,469,2,2,2025-09-24,957
470,470,2,2,2025-09-24,907
471,471,2,2,2025-09-24,910
472,472,3,3,2025-09-24,835
473,473,3,3,2025-09-24,803
474,474,3,3,2025-09-24,842
475,475,4,4,2025-09-24,959
476,476,4,4,2025-09-24,1036
477,477,4,4,2025-09-24,962
478,478,5,5,2025-09-24,988
479,479,5,5,2025-09-24,913
480,480,5,5,2025-09-24,918
481,481,1,1,2025-09-25,909
482,482,1,1,2025-09-25,919
483,483,1,1,2025-09-25,948
484,484,2,2,2025-09-25,909
485,485,2,2,2025-09-25,939
486,486,2,2,2025-09-25,891
487,487,3,3,2025-09-25,755
488,488,3,3,2025-09-25,815
489,489,3,3,2025-09-25,806
490,490,4,4,2025-09-25,999
491,491,4,4,2025-09-25,954
492,492,4,4,2025-09-25,958
493,493,5,5,2025-09-25,904
494,494,5,5,2025-09-25,977
495,495,5,5,2025-09-25,986
496,496,1,1,2025-09-26,927
497,497,1,1,2025-09-26,927
498,498,1,1,2025-09-26,975
499,499,2,2,2025-09-26,961
500,500,2,2,2025-09-26,971
501,501,2,2,2025-09-26,875
502,502,3,3,2025-09-26,784
503,503,3,3,2025-09-26,811
504,504,3,3,2025-09-26,813
505,505,4,4,2025-09-26,972
506,506,4,4,2025-09-26,948
507,507,4,4,2025-09-26,978
508,508,5,5,2025-09-26,1001
509,509,5,5,2025-09-26,909
510,510,5,5,2025-09-26,938
511,511,1,1,2025-09-27,1051
512,512,1,1,2025-09-27,928
513,513,1,1,2025-09-27,977
514,514,2,2,2025-09-27,973
515,515,2,2,2025-09-27,923
516,516,2,2,2025-09-27,944
517,517,3,3,2025-09-27,832
518,518,3,3,2025-09-27,820
519,519,3,3,2025-09-27,855
520,520,4,4,2025-09-27,1005
521,521,4,4,2025-09-27,973
522,522,4,4,2025-09-27,985
523,523,5,5,2025-09-27,944
524,524,5,5,2025-09-27,914
525,525,5,5,2025-09-27,937
526,526,1,1,2025-09-28,951
527,527,1,1,2025-09-28,975
528,528,1,1,2025-09-28,1036
529,529,2,2,2025-09-28,909
530,530,2,2,2025-09-28,963
531,531,2,2,2025-09-28,924
532,532,3,3,2025-09-28,807
533,533,3,3,2025-09-28,782
534,534,3,3,2025-09-28,807
535,535,4,4,2025-09-28,985
536,536,4,4,2025-09-28,951
537,537,4,4,2025-09-28,957
538,538,5,5,2025-09-28,945
539,539,5,5,2025-09-28,992
540,540,5,5,2025-09-28,927
541,541,1,1,2025-09-29,892
542,542,1,1,2025-09-29,862
543,543,1,1,2025-09-29,909
544,544,2,2,2025-09-29,928
545,545,2,2,2025-09-29,848
546,546,2,2,2025-09-29,934
547,547,3,3,2025-09-29,826
548,548,3,3,2025-09-29,796
549,549,3,3,2025-09-29,738
550,550,4,4,2025-09-29,952
551,551,4,4,2025-09-29,970
552,552,4,4,2025-09-29,994
553,553,5,5,2025-09-29,879
554,554,5,5,2025-09-29,987
555,555,5,5,2025-09-29,943
556,556,1,1,2025-09-30,968
557,557,1,1,2025-09-30,975
558,558,1,1,2025-09-30,1003
559,559,2,2,2025-09-30,907
560,560,2,2,2025-09-30,928
561,561,2,2,2025-09-30,872
562,562,3,3,2025-09-30,872
563,563,3,3,2025-09-30,805
564,564,3,3,2025-09-30,772
565,565,4,4,2025-09-30,962
566,566,4,4,2025-09-30,904
567,567,4,4,2025-09-30,961
568,568,5,5,2025-09-30,833
569,569,5,5,2025-09-30,961
570,570,5,5,2025-09-30,947
571,571,1,1,2025-10-01,911
572,572,1,1,2025-10-01,948
573,573,1,1,2025-10-01,949
574,574,2,2,2025-10-01,853
575,575,2,2,2025-10-01,891
576,576,2,2,2025-10-01,901
577,577,3,3,2025-10-01,790
578,578,3,3,2025-10-01,772
579,579,3,3,2025-10-01,759
580,580,4,4,2025-10-01,968
581,581,4,4,2025-10-01,957
582,582,4,4,2025-10-01,1002
583,583,5,5,2025-10-01,985
584,584,5,5,2025-10-01,966
585,585,5,5,2025-10-01,932
586,586,1,1,2025-10-02,924
587,587,1,1,2025-10-02,985
588,588,1,1,2025-10-02,975
589,589,2,2,2025-10-02,952
590,590,2,2,2025-10-02,907
591,591,2,2,2025-10-02,969
592,592,3,3,2025-10-02,807
593,593,3,3,2025-10-02,773
594,594,3,3,2025-10-02,780
595,595,4,4,2025-10-02,1000
596,596,4,4,2025-10-02,957
597,597,4,4,2025-10-02,1049
598,598,5,5,2025-10-02,947
599,599,5,5,2025-10-02,931
600,600,5,5,2025-10-02,934
601,601,1,1,2025-10-03,939
602,602,1,1,2025-10-03,883
603,603,1,1,2025-10-03,930
604,604,2,2,2025-10-03,962
605,605,2,2,2025-10-03,908
606,606,2,2,2025-10-03,941
607,607,3,3,2025-10-03,843
608,608,3,3,2025-10-03,798
609,609,3,3,2025-10-03,826
610,610,4,4,2025-10-03,916
611,611,4,4,2025-10-03,1039
612,612,4,4,2025-10-03,1035
613,613,5,5,2025-10-03,949
614,614,5,5,2025-10-03,940
615,615,5,5,2025-10-03,928
616,616,1,1,2025-10-04,996
617,617,1,1,2025-10-04,980
618,618,1,1,2025-10-04,836
619,619,2,2,2025-10-04,885
620,620,2,2,2025-10-04,855
621,621,2,2,2025-10-04,848
622,622,3,3,2025-10-04,846
623,623,3,3,2025-10-04,798
624,624,3,3,2025-10-04,819
625,625,4,4,2025-10-04,983
626,626,4,4,2025-10-04,928
627,627,4,4,2025-10-04,917
628,628,5,5,2025-10-04,912
629,629,5,5,2025-10-04,916
630,630,5,5,2025-10-04,916
631,631,1,1,2025-10-05,937
632,632,1,1,2025-10-05,1033
633,633,1,1,2025-10-05,991
634,634,2,2,2025-10-05,909
635,635,2,2,2025-10-05,897
636,636,2,2,2025-10-05,898
637,637,3,3,2025-10-05,829
638,638,3,3,2025-10-05,796
639,639,3,3,2025-10-05,836
640,640,4,4,2025-10-05,993
641,641,4,4,2025-10-05,1063
642,642,4,4,2025-10-05,974
643,643,5,5,2025-10-05,974
644,644,5,5,2025-10-05,888
645,645,5,5,2025-10-05,905
646,646,1,1,2025-10-06,1026
647,647,1,1,2025-10-06,984
648,648,1,1,2025-10-06,969
649,649,2,2,2025-10-06,996
650,650,2,2,2025-10-06,897
651,651,2,2,2025-10-06,944
652,652,3,3,2025-10-06,847
653,653,3,3,2025-10-06,865
654,654,3,3,2025-10-06,754
655,655,4,4,2025-10-06,977
656,656,4,4,2025-10-06,993
657,657,4,4,2025-10-06,1044
658,658,5,5,2025-10-06,948
659,659,5,5,2025-10-06,977
660,660,5,5,2025-10-06,880
661,661,1,1,2025-10-07,938
662,662,1,1,2025-10-07,1005
663,663,1,1,2025-10-07,943
664,664,2,2,2025-10-07,900
665,665,2,2,2025-10-07,963
666,666,2,2,2025-10-07,866
667,667,3,3,2025-10-07,774
668,668,3,3,2025-10-07,747
669,669,3,3,2025-10-07,865
670,670,4,4,2025-10-07,1020
671,671,4,4,2025-10-07,1019
672,672,4,4,2025-10-07,967
673,673,5,5,2025-10-07,874
674,674,5,5,2025-10-07,864
675,675,5,5,2025-10-07,985
676,676,1,1,2025-10-08,972
677,677,1,1,2025-10-08,980
678,678,1,1,2025-10-08,961
679,679,2,2,2025-10-08,869
680,680,2,2,2025-10-08,888
681,681,2,2,2025-10-08,860
682,682,3,3,2025-10-08,755
683,683,3,3,2025-10-08,836
684,684,3,3,2025-10-08,737
685,685,4,4,2025-10-08,940
686,686,4,4,2025-10-08,971
687,687,4,4,2025-10-08,984
688,688,5,5,2025-10-08,876
689,689,5,5,2025-10-08,866
690,690,5,5,2025-10-08,947
691,691,1,1,2025-10-09,958
692,692,1,1,2025-10-09,1004
693,693,1,1,2025-10-09,954
694,694,2,2,2025-10-09,921
695,695,2,2,2025-10-09,871
696,696,2,2,2025-10-09,873
697,697,3,3,2025-10-09,750
698,698,3,3,2025-10-09,772
699,699,3,3,2025-10-09,788
700,700,4,4,2025-10-09,1029
701,701,4,4,2025-10-09,946
702,702,4,4,2025-10-09,1065
703,703,5,5,2025-10-09,955
704,704,5,5,2025-10-09,946
705,705,5,5,2025-10-09,931
706,706,1,1,2025-10-10,944
707,707,1,1,2025-10-10,927
708,708,1,1,2025-10-10,895
709,709,2,2,2025-10-10,867
710,710,2,2,2025-10-10,965
711,711,2,2,2025-10-10,922
712,712,3,3,2025-10-10,865
713,713,3,3,2025-10-10,776
714,714,3,3,2025-10-10,759
715,715,4,4,2025-10-10,981
716,716,4,4,2025-10-10,949
717,717,4,4,2025-10-10,989
718,718,5,5,2025-10-10,867
719,719,5,5,2025-10-10,850
720,720,5,5,2025-10-10,944
721,721,1,1,2025-10-11,1016
722,722,1,1,2025-10-11,966
723,723,1,1,2025-10-11,972
724,724,2,2,2025-10-11,903
725,725,2,2,2025-10-11,906
726,726,2,2,2025-10-11,843
727,727,3,3,2025-10-11,770
728,728,3,3,2025-10-11,849
729,729,3,3,2025-10-11,756
730,730,4,4,2025-10-11,967
731,731,4,4,2025-10-11,1028
732,732,4,4,2025-10-11,985
733,733,5,5,2025-10-11,937
734,734,5,5,2025-10-11,917
735,735,5,5,2025-10-11,958
736,736,1,1,2025-10-12,988
737,737,1,1,2025-10-12,918
738,738,1,1,2025-10-12,896
739,739,2,2,2025-10-12,826
740,740,2,2,2025-10-12,920
741,741,2,2,2025-10-12,915
742,742,3,3,2025-10-12,899
743,743,3,3,2025-10-12,803
744,744,3,3,2025-10-12,796
745,745,4,4,2025-10-12,990
746,746,4,4,2025-10-12,992
747,747,4,4,2025-10-12,973
748,748,5,5,2025-10-12,899
749,749,5,5,2025-10-12,931
750,750,5,5,2025-10-12,929
751,751,1,1,2025-10-13,948
752,752,1,1,2025-10-13,982
753,753,1,1,2025-10-13,950
754,754,2,2,2025-10-13,847
755,755,2,2,2025-10-13,875
756,756,2,2,2025-10-13,892
757,757,3,3,2025-10-13,802
758,758,3,3,2025-10-13,821
759,759,3,3,2025-10-13,802
760,760,4,4,2025-10-13,900
761,761,4,4,2025-10-13,931
762,762,4,4,2025-10-13,1003
763,763,5,5,2025-10-13,921
764,764,5,5,2025-10-13,989
765,765,5,5,2025-10-13,935
766,766,1,1,2025-10-14,936
767,767,1,1,2025-10-14,925
768,768,1,1,2025-10-14,937
769,769,2,2,2025-10-14,906
770,770,2,2,2025-10-14,900
771,771,2,2,2025-10-14,937
772,772,3,3,2025-10-14,740
773,773,3,3,2025-10-14,745
774,774,3,3,2025-10-14,791
775,775,4,4,2025-10-14,1001
776,776,4,4,2025-10-14,1010
777,777,4,4,2025-10-14,956
778,778,5,5,2025-10-14,826
779,779,5,5,2025-10-14,908
780,780,5,5,2025-10-14,945
781,781,1,1,2025-10-15,949
782,782,1,1,2025-10-15,973
783,783,1,1,2025-10-15,997
784,784,2,2,2025-10-15,893
785,785,2,2,2025-10-15,882
786,786,2,2,2025-10-15,864
787,787,3,3,2025-10-15,745
788,788,3,3,2025-10-15,735
789,789,3,3,2025-10-15,773
790,790,4,4,2025-10-15,1021
791,791,4,4,2025-10-15,1007
792,792,4,4,2025-10-15,960
793,793,5,5,2025-10-15,1016
794,794,5,5,2025-10-15,905
795,795,5,5,2025-10-15,982
796,796,1,1,2025-10-16,1012
797,797,1,1,2025-10-16,968
798,798,1,1,2025-10-16,922
799,799,2,2,2025-10-16,885
800,800,2,2,2025-10-16,907
801,801,2,2,2025-10-16,846
802,802,3,3,2025-10-16,761
803,803,3,3,2025-10-16,758
804,804,3,3,2025-10-16,821
805,805,4,4,2025-10-16,1027
806,806,4,4,2025-10-16,1008
807,807,4,4,2025-10-16,1019
808,808,5,5,2025-10-16,899
809,809,5,5,2025-10-16,917
810,810,5,5,2025-10-16,919
811,811,1,1,2025-10-17,968
812,812,1,1,2025-10-17,1036
813,813,1,1,2025-10-17,924
814,814,2,2,2025-10-17,937
815,815,2,2,2025-10-17,961
