quality_id,production_id,inspection_date,defect_type,defect_count,quality_status
77,77,2025-08-29,PCB Damage,3,Pass
78,78,2025-08-29,PCB Damage,17,Fail
79,79,2025-08-29,Missing Component,15,Fail
80,80,2025-08-29,Overheating,4,Pass
81,81,2025-08-29,PCB Damage,20,Fail
82,82,2025-08-29,Solder Defect,2,Pass
83,83,2025-08-29,PCB Damage,19,Fail
84,84,2025-08-29,Component Misplacement,14,Pass
85,85,2025-08-29,PCB Damage,25,Fail
86,86,2025-08-29,PCB Damage,6,Pass
87,87,2025-08-29,Overheating,5,Pass
88,88,2025-08-29,Component Misplacement,11,Pass
89,89,2025-08-29,Component Misplacement,6,Pass
90,90,2025-08-29,PCB Damage,10,Pass
91,91,2025-08-30,Overheating,10,Pass
92,92,2025-08-30,Overheating,22,Fail
93,93,2025-08-30,PCB Damage,4,Pass
94,94,2025-08-30,Component Misplacement,22,Fail
95,95,2025-08-30,Component Misplacement,2,Pass
96,96,2025-08-30,Overheating,6,Pass
97,97,2025-08-30,PCB Damage,12,Pass
98,98,2025-08-30,Missing Component,7,Pass
99,99,2025-08-30,Component Misplacement,6,Pass
100,100,2025-08-30,Overheating,24,Fail
101,101,2025-08-30,Overheating,15,Fail
102,102,2025-08-30,Component Misplacement,16,Fail
103,103,2025-08-30,Missing Component,6,Pass
104,104,2025-08-30,PCB Damage,7,Pass
105,105,2025-08-30,Component Misplacement,19,Fail
106,106,2025-08-31,Solder Defect,9,Pass
107,107,2025-08-31,Overheating,9,Pass
108,108,2025-08-31,Solder Defect,7,Pass
109,109,2025-08-31,PCB Damage,10,Pass
110,110,2025-08-31,Missing Component,1,Pass
111,111,2025-08-31,Overheating,14,Pass
112,112,2025-08-31,PCB Damage,20,Fail
113,113,2025-08-31,PCB Damage,1,Pass
114,114,2025-08-31,Overheating,14,Pass
115,115,2025-08-31,Solder Defect,27,Fail
116,116,2025-08-31,Component Misplacement,17,Fail
117,117,2025-08-31,PCB Damage,13,Pass
118,118,2025-08-31,Missing Component,5,Pass
119,119,2025-08-31,Overheating,20,Fail
120,120,2025-08-31,Overheating,12,Pass
121,121,2025-09-01,Missing Component,18,Fail
122,122,2025-09-01,PCB Damage,24,Fail
123,123,2025-09-01,PCB Damage,11,Pass
124,124,2025-09-01,Component Misplacement,8,Pass
125,125,2025-09-01,Solder Defect,12,Pass
126,126,2025-09-01,Component Misplacement,7,Pass
127,127,2025-09-01,Component Misplacement,12,Pass
128,128,2025-09-01,Missing Component,12,Pass
129,129,2025-09-01,PCB Damage,18,Fail
130,130,2025-09-01,Missing Component,17,Fail
131,131,2025-09-01,Overheating,16,Fail
132,132,2025-09-01,Overheating,10,Pass
133,133,2025-09-01,Solder Defect,14,Pass
134,134,2025-09-01,PCB Damage,4,Pass
135,135,2025-09-01,Overheating,8,Pass
136,136,2025-09-02,Overheating,10,Pass
137,137,2025-09-02,Component Misplacement,3,Pass
138,138,2025-09-02,Component Misplacement,11,Pass
139,139,2025-09-02,Overheating,10,Pass
140,140,2025-09-02,PCB Damage,5,Pass
141,141,2025-09-02,PCB Damage,12,Pass
142,142,2025-09-02,Component Misplacement,7,Pass
143,143,2025-09-02,Component Misplacement,16,Fail
144,144,2025-09-02,PCB Damage,4,Pass
145,145,2025-09-02,Overheating,4,Pass
146,146,2025-09-02,PCB Damage,21,Fail
147,147,2025-09-02,Overheating,13,Pass
148,148,2025-09-02,Missing Component,5,Pass
149,149,2025-09-02,Overheating,10,Pass
150,150,2025-09-02,Overheating,8,Pass
151,151,2025-09-03,Solder Defect,18,Fail
152,152,2025-09-03,Solder Defect,17,Fail
153,153,2025-09-03,Component Misplacement,7,Pass
154,154,2025-09-03,Component Misplacement,9,Pass
155,155,2025-09-03,Overheating,3,Pass
156,156,2025-09-03,Solder Defect,4,Pass
157,157,2025-09-03,Component Misplacement,5,Pass
158,158,2025-09-03,Solder Defect,2,Pass
159,159,2025-09-03,Solder Defect,2,Pass
160,160,2025-09-03,Solder Defect,13,Pass
161,161,2025-09-03,Component Misplacement,15,Fail
162,162,2025-09-03,Missing Component,1,Pass
163,163,2025-09-03,PCB Damage,11,Pass
164,164,2025-09-03,Missing Component,24,Fail
165,165,2025-09-03,Overheating,2,Pass
166,166,2025-09-04,Solder Defect,13,Pass
167,167,2025-09-04,Overheating,22,Fail
168,168,2025-09-04,Component Misplacement,14,Pass
169,169,2025-09-04,PCB Damage,12,Pass
170,170,2025-09-04,Missing Component,9,Pass
171,171,2025-09-04,Missing Component,19,Fail
172,172,2025-09-04,Missing Component,15,Fail
173,173,2025-09-04,Overheating,3,Pass
174,174,2025-09-04,PCB Damage,5,Pass
175,175,2025-09-04,Missing Component,4,Pass
176,176,2025-09-04,Missing Component,8,Pass
177,177,2025-09-04,Missing Component,20,Fail
178,178,2025-09-04,Component Misplacement,9,Pass
179,179,2025-09-04,Component Misplacement,11,Pass
180,180,2025-09-04,Missing Component,19,Fail
181,181,2025-09-05,PCB Damage,9,Pass
182,182,2025-09-05,Overheating,22,Fail
183,183,2025-09-05,Solder Defect,22,Fail
184,184,2025-09-05,Missing Component,6,Pass
185,185,2025-09-05,Solder Defect,5,Pass
186,186,2025-09-05,Solder Defect,13,Pass
187,187,2025-09-05,Overheating,6,Pass
188,188,2025-09-05,Overheating,12,Pass
189,189,2025-09-05,Missing Component,17,Fail
190,190,2025-09-05,Solder Defect,14,Pass
191,191,2025-09-05,Overheating,6,Pass
192,192,2025-09-05,Missing Component,8,Pass
193,193,2025-09-05,Missing Component,16,Fail
194,194,2025-09-05,Component Misplacement,11,Pass
195,195,2025-09-05,Solder Defect,4,Pass
196,196,2025-09-06,Overheating,7,Pass
197,197,2025-09-06,Solder Defect,13,Pass
198,198,2025-09-06,Overheating,3,Pass
199,199,2025-09-06,Solder Defect,19,Fail
200,200,2025-09-06,Missing Component,2,Pass
201,201,2025-09-06,Overheating,3,Pass
202,202,2025-09-06,Component Misplacement,13,Pass
203,203,2025-09-06,Overheating,4,Pass
204,204,2025-09-06,Component Misplacement,14,Pass
205,205,2025-09-06,Component Misplacement,14,Pass
206,206,2025-09-06,Component Misplacement,23,Fail
207,207,2025-09-06,Overheating,9,Pass
208,208,2025-09-06,Component Misplacement,8,Pass
209,209,2025-09-06,Component Misplacement,3,Pass
210,210,2025-09-06,Overheating,11,Pass
211,211,2025-09-07,PCB Damage,4,Pass
212,212,2025-09-07,PCB Damage,2,Pass
213,213,2025-09-07,Missing Component,17,Fail
214,214,2025-09-07,Missing Component,12,Pass
215,215,2025-09-07,PCB Damage,9,Pass
216,216,2025-09-07,Missing Component,19,Fail
217,217,2025-09-07,Missing Component,2,Pass
218,218,2025-09-07,Component Misplacement,10,Pass
219,219,2025-09-07,PCB Damage,12,Pass
220,220,2025-09-07,Overheating,19,Fail
221,221,2025-09-07,PCB Damage,10,Pass
222,222,2025-09-07,Overheating,13,Pass
223,223,2025-09-07,Solder Defect,11,Pass
224,224,2025-09-07,Solder Defect,6,Pass
225,225,2025-09-07,Solder Defect,12,Pass
226,226,2025-09-08,Component Misplacement,4,Pass
227,227,2025-09-08,Solder Defect,9,Pass
228,228,2025-09-08,Overheating,10,Pass
229,229,2025-09-08,Overheating,10,Pass
230,230,2025-09-08,Overheating,23,Fail
231,231,2025-09-08,PCB Damage,17,Fail
232,232,2025-09-08,Component Misplacement,11,Pass
233,233,2025-09-08,Overheating,16,Fail
234,234,2025-09-08,Missing Component,4,Pass
235,235,2025-09-08,Overheating,26,Fail
236,236,2025-09-08,Missing Component,18,Fail
237,237,2025-09-08,Component Misplacement,11,Pass
238,238,2025-09-08,Missing Component,6,Pass
239,239,2025-09-08,PCB Damage,18,Fail
240,240,2025-09-08,Missing Component,15,Fail
241,241,2025-09-09,PCB Damage,13,Pass
242,242,2025-09-09,PCB Damage,4,Pass
243,243,2025-09-09,PCB Damage,3,Pass
244,244,2025-09-09,PCB Damage,12,Pass
245,245,2025-09-09,Overheating,3,Pass
246,246,2025-09-09,Missing Component,18,Fail
247,247,2025-09-09,Overheating,8,Pass
248,248,2025-09-09,Solder Defect,16,Fail
249,249,2025-09-09,PCB Damage,10,Pass
250,250,2025-09-09,Overheating,9,Pass
251,251,2025-09-09,Overheating,14,Pass
252,252,2025-09-09,PCB Damage,4,Pass
253,253,2025-09-09,Solder Defect,7,Pass
254,254,2025-09-09,Overheating,7,Pass
255,255,2025-09-09,Missing Component,15,Fail
256,256,2025-09-10,Missing Component,20,Fail
257,257,2025-09-10,Missing Component,21,Fail
258,258,2025-09-10,Overheating,13,Pass
259,259,2025-09-10,PCB Damage,13,Pass
260,260,2025-09-10,Component Misplacement,23,Fail
261,261,2025-09-10,PCB Damage,7,Pass
262,262,2025-09-10,Component Misplacement,6,Pass
263,263,2025-09-10,Overheating,5,Pass
264,264,2025-09-10,PCB Damage,6,Pass
265,265,2025-09-10,Component Misplacement,11,Pass
266,266,2025-09-10,Component Misplacement,7,Pass
267,267,2025-09-10,Solder Defect,8,Pass
268,268,2025-09-10,Component Misplacement,2,Pass
269,269,2025-09-10,Solder Defect,7,Pass
270,270,2025-09-10,PCB Damage,11,Pass
271,271,2025-09-11,Solder Defect,3,Pass
272,272,2025-09-11,Component Misplacement,14,Pass
273,273,2025-09-11,PCB Damage,19,Fail
274,274,2025-09-11,PCB Damage,12,Pass
275,275,2025-09-11,Overheating,19,Fail
276,276,2025-09-11,Missing Component,19,Fail
277,277,2025-09-11,Missing Component,9,Pass
278,278,2025-09-11,Overheating,6,Pass
279,279,2025-09-11,PCB Damage,6,Pass
280,280,2025-09-11,PCB Damage,13,Pass
281,281,2025-09-11,Solder Defect,8,Pass
282,282,2025-09-11,Component Misplacement,16,Fail
283,283,2025-09-11,Overheating,10,Pass
284,284,2025-09-11,PCB Damage,4,Pass
285,285,2025-09-11,Overheating,3,Pass
286,286,2025-09-12,PCB Damage,9,Pass
287,287,2025-09-12,Solder Defect,2,Pass
288,288,2025-09-12,Missing Component,11,Pass
289,289,2025-09-12,PCB Damage,12,Pass
290,290,2025-09-12,Missing Component,7,Pass
291,291,2025-09-12,Solder Defect,10,Pass
292,292,2025-09-12,PCB Damage,11,Pass
293,293,2025-09-12,PCB Damage,7,Pass
294,294,2025-09-12,Missing Component,7,Pass
295,295,2025-09-12,Overheating,12,Pass
296,296,2025-09-12,PCB Damage,32,Fail
297,297,2025-09-12,Solder Defect,2,Pass
298,298,2025-09-12,PCB Damage,3,Pass
299,299,2025-09-12,PCB Damage,6,Pass
300,300,2025-09-12,Component Misplacement,10,Pass
301,301,2025-09-13,Component Misplacement,12,Pass
302,302,2025-09-13,PCB Damage,21,Fail
303,303,2025-09-13,PCB Damage,21,Fail
304,304,2025-09-13,PCB Damage,14,Pass
305,305,2025-09-13,Solder Defect,3,Pass
306,306,2025-09-13,Missing Component,11,Pass
307,307,2025-09-13,Overheating,8,Pass
308,308,2025-09-13,PCB Damage,6,Pass
309,309,2025-09-13,Solder Defect,8,Pass
310,310,2025-09-13,Solder Defect,11,Pass
311,311,2025-09-13,Solder Defect,5,Pass
312,312,2025-09-13,Overheating,17,Fail
313,313,2025-09-13,Overheating,4,Pass
314,314,2025-09-13,Component Misplacement,7,Pass
315,315,2025-09-13,Missing Component,5,Pass
316,316,2025-09-14,PCB Damage,3,Pass
317,317,2025-09-14,Overheating,7,Pass
318,318,2025-09-14,Missing Component,9,Pass
319,319,2025-09-14,PCB Damage,12,Pass
320,320,2025-09-14,PCB Damage,8,Pass
321,321,2025-09-14,Overheating,17,Fail
322,322,2025-09-14,PCB Damage,20,Fail
323,323,2025-09-14,Component Misplacement,23,Fail
324,324,2025-09-14,Missing Component,3,Pass
325,325,2025-09-14,Solder Defect,10,Pass
326,326,2025-09-14,Missing Component,24,Fail
327,327,2025-09-14,Missing Component,7,Pass
328,328,2025-09-14,Overheating,6,Pass
329,329,2025-09-14,Missing Component,19,Fail
330,330,2025-09-14,Overheating,16,Fail
331,331,2025-09-15,Solder Defect,13,Pass
332,332,2025-09-15,Solder Defect,21,Fail
333,333,2025-09-15,Solder Defect,6,Pass
334,334,2025-09-15,Solder Defect,9,Pass
335,335,2025-09-15,PCB Damage,3,Pass
336,336,2025-09-15,Missing Component,19,Fail
337,337,2025-09-15,Missing Component,20,Fail
338,338,2025-09-15,PCB Damage,13,Pass
339,339,2025-09-15,PCB Damage,3,Pass
340,340,2025-09-15,PCB Damage,22,Fail
341,341,2025-09-15,Overheating,22,Fail
342,342,2025-09-15,Component Misplacement,14,Pass
343,343,2025-09-15,PCB Damage,3,Pass
344,344,2025-09-15,Solder Defect,12,Pass
345,345,2025-09-15,PCB Damage,22,Fail
346,346,2025-09-16,Component Misplacement,25,Fail
347,347,2025-09-16,Solder Defect,2,Pass
348,348,2025-09-16,Component Misplacement,14,Pass
349,349,2025-09-16,Component Misplacement,13,Pass
350,350,2025-09-16,Missing Component,3,Pass
351,351,2025-09-16,Component Misplacement,8,Pass
352,352,2025-09-16,PCB Damage,8,Pass
353,353,2025-09-16,Component Misplacement,6,Pass
354,354,2025-09-16,Solder Defect,8,Pass
355,355,2025-09-16,Component Misplacement,6,Pass
356,356,2025-09-16,PCB Damage,25,Fail
357,357,2025-09-16,Missing Component,13,Pass
358,358,2025-09-16,Overheating,9,Pass
359,359,2025-09-16,Solder Defect,21,Fail
360,360,2025-09-16,Solder Defect,25,Fail
361,361,2025-09-17,Solder Defect,10,Pass
362,362,2025-09-17,Missing Component,13,Pass
363,363,2025-09-17,Missing Component,23,Fail
364,364,2025-09-17,PCB Damage,22,Fail
365,365,2025-09-17,Missing Component,17,Fail
366,366,2025-09-17,Component Misplacement,19,Fail
367,367,2025-09-17,Solder Defect,8,Pass
368,368,2025-09-17,Overheating,12,Pass
369,369,2025-09-17,Component Misplacement,17,Fail
370,370,2025-09-17,Missing Component,2,Pass
371,371,2025-09-17,Overheating,16,Fail
372,372,2025-09-17,Overheating,21,Fail
373,373,2025-09-17,Overheating,13,Pass
374,374,2025-09-17,PCB Damage,10,Pass
375,375,2025-09-17,PCB Damage,3,Pass
376,376,2025-09-18,PCB Damage,4,Pass
377,377,2025-09-18,Missing Component,16,Fail
378,378,2025-09-18,PCB Damage,11,Pass
379,379,2025-09-18,Solder Defect,2,Pass
380,380,2025-09-18,Component Misplacement,20,Fail
381,381,2025-09-18,Overheating,2,Pass
382,382,2025-09-18,Missing Component,16,Fail
383,383,2025-09-18,Component Misplacement,5,Pass
384,384,2025-09-18,Missing Component,16,Fail
385,385,2025-09-18,PCB Damage,7,Pass
386,386,2025-09-18,Solder Defect,5,Pass
387,387,2025-09-18,Solder Defect,18,Fail
388,388,2025-09-18,Component Misplacement,2,Pass
389,389,2025-09-18,Component Misplacement,14,Pass
390,390,2025-09-18,Solder Defect,10,Pass
391,391,2025-09-19,Component Misplacement,6,Pass
392,392,2025-09-19,Solder Defect,7,Pass
393,393,2025-09-19,Solder Defect,17,Fail
394,394,2025-09-19,PCB Damage,11,Pass
395,395,2025-09-19,PCB Damage,2,Pass
396,396,2025-09-19,Missing Component,7,Pass
397,397,2025-09-19,PCB Damage,2,Pass
398,398,2025-09-19,PCB Damage,4,Pass
399,399,2025-09-19,Solder Defect,11,Pass
400,400,2025-09-19,Missing Component,10,Pass
401,401,2025-09-19,Overheating,10,Pass
402,402,2025-09-19,Overheating,20,Fail
403,403,2025-09-19,PCB Damage,14,Pass
404,404,2025-09-19,Missing Component,6,Pass
405,405,2025-09-19,PCB Damage,3,Pass
406,406,2025-09-20,Component Misplacement,2,Pass
407,407,2025-09-20,Solder Defect,8,Pass
408,408,2025-09-20,Missing Component,24,Fail
409,409,2025-09-20,Overheating,4,Pass
410,410,2025-09-20,Solder Defect,11,Pass
411,411,2025-09-20,Component Misplacement,15,Fail
412,412,2025-09-20,Missing Component,9,Pass
413,413,2025-09-20,Component Misplacement,3,Pass
414,414,2025-09-20,Component Misplacement,25,Fail
415,415,2025-09-20,Component Misplacement,18,Fail
416,416,2025-09-20,PCB Damage,13,Pass
417,417,2025-09-20,PCB Damage,8,Pass
418,418,2025-09-20,PCB Damage,2,Pass
419,419,2025-09-20,Overheating,20,Fail
420,420,2025-09-20,Component Misplacement,7,Pass
421,421,2025-09-21,PCB Damage,28,Fail
422,422,2025-09-21,Overheating,13,Pass
423,423,2025-09-21,Missing Component,2,Pass
424,424,2025-09-21,Overheating,18,Fail
425,425,2025-09-21,PCB Damage,9,Pass
426,426,2025-09-21,Component Misplacement,8,Pass
427,427,2025-09-21,Overheating,7,Pass
428,428,2025-09-21,Component Misplacement,1,Pass
429,429,2025-09-21,PCB Damage,10,Pass
430,430,2025-09-21,PCB Damage,9,Pass
431,431,2025-09-21,Missing Component,11,Pass
432,432,2025-09-21,Missing Component,3,Pass
433,433,2025-09-21,Component Misplacement,5,Pass
434,434,2025-09-21,PCB Damage,16,Fail
435,435,2025-09-21,Overheating,5,Pass
436,436,2025-09-22,Overheating,10,Pass
437,437,2025-09-22,Solder Defect,15,Fail
438,438,2025-09-22,Overheating,6,Pass
439,439,2025-09-22,PCB Damage,13,Pass
440,440,2025-09-22,Component Misplacement,8,Pass
441,441,2025-09-22,PCB Damage,8,Pass
442,442,2025-09-22,PCB Damage,15,Fail
443,443,2025-09-22,PCB Damage,3,Pass
444,444,2025-09-22,PCB Damage,2,Pass
445,445,2025-09-22,PCB Damage,17,Fail
446,446,2025-09-22,PCB Damage,14,Pass
447,447,2025-09-22,PCB Damage,24,Fail
448,448,2025-09-22,PCB Damage,10,Pass
449,449,2025-09-22,Component Misplacement,5,Pass
450,450,2025-09-22,Component Misplacement,2,Pass
451,451,2025-09-23,PCB Damage,7,Pass
452,452,2025-09-23,Component Misplacement,15,Fail
453,453,2025-09-23,Overheating,19,Fail
454,454,2025-09-23,Overheating,10,Pass
455,455,2025-09-23,Missing Component,9,Pass
456,456,2025-09-23,Missing Component,10,Pass
457,457,2025-09-23,PCB Damage,3,Pass
458,458,2025-09-23,Missing Component,7,Pass
459,459,2025-09-23,Solder Defect,18,Fail
460,460,2025-09-23,PCB Damage,28,Fail
461,461,2025-09-23,PCB Damage,15,Fail
462,462,2025-09-23,Overheating,25,Fail
463,463,2025-09-23,Missing Component,4,Pass
464,464,2025-09-23,Component Misplacement,10,Pass
465,465,2025-09-23,Component Misplacement,2,Pass
466,466,2025-09-24,Overheating,16,Fail
467,467,2025-09-24,Overheating,3,Pass
468,468,2025-09-24,Overheating,6,Pass
469,469,2025-09-24,Solder Defect,7,Pass
470,470,2025-09-24,Missing Component,10,Pass
471,471,2025-09-24,Missing Component,5,Pass
472,472,2025-09-24,Overheating,2,Pass
473,473,2025-09-24,PCB Damage,10,Pass
474,474,2025-09-24,Overheating,15,Fail
475,475,2025-09-24,Component Misplacement,11,Pass
476,476,2025-09-24,Solder Defect,20,Fail
477,477,2025-09-24,Component Misplacement,14,Pass
478,478,2025-09-24,Solder Defect,17,Fail
479,479,2025-09-24,Overheating,8,Pass
480,480,2025-09-24,Missing Component,6,Pass
481,481,2025-09-25,Overheating,3,Pass
482,482,2025-09-25,Component Misplacement,3,Pass
483,483,2025-09-25,Overheating,6,Pass
484,484,2025-09-25,Overheating,9,Pass
485,485,2025-09-25,Overheating,25,Fail
486,486,2025-09-25,Solder Defect,14,Pass
487,487,2025-09-25,Solder Defect,20,Fail
488,488,2025-09-25,Missing Component,4,Pass
489,489,2025-09-25,Solder Defect,15,Fail
490,490,2025-09-25,Missing Component,7,Pass
491,491,2025-09-25,Missing Component,8,Pass
492,492,2025-09-25,PCB Damage,7,Pass
493,493,2025-09-25,Missing Component,3,Pass
494,494,2025-09-25,Solder Defect,15,Fail
495,495,2025-09-25,PCB Damage,10,Pass
496,496,2025-09-26,Missing Component,5,Pass
497,497,2025-09-26,PCB Damage,5,Pass
498,498,2025-09-26,Overheating,16,Fail
499,499,2025-09-26,Missing Component,5,Pass
500,500,2025-09-26,PCB Damage,11,Pass
501,501,2025-09-26,Component Misplacement,20,Fail
502,502,2025-09-26,Solder Defect,15,Fail
503,503,2025-09-26,Component Misplacement,16,Fail
504,504,2025-09-26,Missing Component,9,Pass
505,505,2025-09-26,PCB Damage,13,Pass
506,506,2025-09-26,Solder Defect,6,Pass
507,507,2025-09-26,Solder Defect,4,Pass
508,508,2025-09-26,Solder Defect,9,Pass
509,509,2025-09-26,Component Misplacement,17,Fail
510,510,2025-09-26,PCB Damage,15,Fail
511,511,2025-09-27,PCB Damage,14,Pass
512,512,2025-09-27,Solder Defect,5,Pass
513,513,2025-09-27,Solder Defect,6,Pass
514,514,2025-09-27,PCB Damage,20,Fail
515,515,2025-09-27,Component Misplacement,20,Fail
516,516,2025-09-27,PCB Damage,15,Fail
517,517,2025-09-27,Overheating,7,Pass
518,518,2025-09-27,PCB Damage,15,Fail
519,519,2025-09-27,Solder Defect,4,Pass
520,520,2025-09-27,Component Misplacement,28,Fail
521,521,2025-09-27,Missing Component,12,Pass
522,522,2025-09-27,Component Misplacement,15,Fail
523,523,2025-09-27,Solder Defect,15,Fail
524,524,2025-09-27,PCB Damage,7,Pass
525,525,2025-09-27,Component Misplacement,14,Pass
526,526,2025-09-28,Overheating,9,Pass
527,527,2025-09-28,Overheating,13,Pass
528,528,2025-09-28,Component Misplacement,6,Pass
529,529,2025-09-28,PCB Damage,25,Fail
530,530,2025-09-28,Overheating,9,Pass
531,531,2025-09-28,PCB Damage,2,Pass
532,532,2025-09-28,Solder Defect,23,Fail
533,533,2025-09-28,Missing Component,9,Pass
534,534,2025-09-28,Component Misplacement,17,Fail
535,535,2025-09-28,Missing Component,12,Pass
536,536,2025-09-28,PCB Damage,9,Pass
537,537,2025-09-28,Component Misplacement,15,Fail
538,538,2025-09-28,Component Misplacement,2,Pass
539,539,2025-09-28,Overheating,15,Fail
540,540,2025-09-28,Missing Component,11,Pass
541,541,2025-09-29,Component Misplacement,3,Pass
542,542,2025-09-29,Component Misplacement,19,Fail
543,543,2025-09-29,PCB Damage,5,Pass
544,544,2025-09-29,Missing Component,11,Pass
545,545,2025-09-29,Component Misplacement,10,Pass
546,546,2025-09-29,Missing Component,3,Pass
547,547,2025-09-29,PCB Damage,11,Pass
548,548,2025-09-29,PCB Damage,6,Pass
549,549,2025-09-29,Missing Component,9,Pass
550,550,2025-09-29,Missing Component,7,Pass
551,551,2025-09-29,Missing Component,6,Pass
552,552,2025-09-29,PCB Damage,2,Pass
553,553,2025-09-29,Overheating,18,Fail
554,554,2025-09-29,Component Misplacement,14,Pass
555,555,2025-09-29,Component Misplacement,23,Fail
556,556,2025-09-30,Solder Defect,19,Fail
557,557,2025-09-30,PCB Damage,5,Pass
558,558,2025-09-30,Solder Defect,2,Pass
559,559,2025-09-30,Overheating,19,Fail
560,560,2025-09-30,PCB Damage,13,Pass
561,561,2025-09-30,Overheating,4,Pass
562,562,2025-09-30,Component Misplacement,9,Pass
563,563,2025-09-30,Component Misplacement,6,Pass
564,564,2025-09-30,PCB Damage,17,Fail
565,565,2025-09-30,PCB Damage,2,Pass
566,566,2025-09-30,Component Misplacement,4,Pass
567,567,2025-09-30,Solder Defect,7,Pass
568,568,2025-09-30,Overheating,4,Pass
569,569,2025-09-30,PCB Damage,16,Fail
570,570,2025-09-30,Component Misplacement,3,Pass
571,571,2025-10-01,Missing Component,6,Pass
572,572,2025-10-01,Component Misplacement,26,Fail
573,573,2025-10-01,Overheating,15,Fail
574,574,2025-10-01,Component Misplacement,11,Pass
575,575,2025-10-01,Missing Component,9,Pass
576,576,2025-10-01,Solder Defect,8,Pass
577,577,2025-10-01,Missing Component,1,Pass
578,578,2025-10-01,Solder Defect,3,Pass
579,579,2025-10-01,Missing Component,13,Pass
580,580,2025-10-01,Component Misplacement,8,Pass
581,581,2025-10-01,Solder Defect,6,Pass
582,582,2025-10-01,Solder Defect,5,Pass
583,583,2025-10-01,Overheating,3,Pass
584,584,2025-10-01,Solder Defect,17,Fail
585,585,2025-10-01,Component Misplacement,12,Pass
586,586,2025-10-02,Overheating,15,Fail
587,587,2025-10-02,PCB Damage,12,Pass
588,588,2025-10-02,Component Misplacement,13,Pass
589,589,2025-10-02,Solder Defect,10,Pass
590,590,2025-10-02,Solder Defect,7,Pass
